bangla_speech,combined,ipa_output
সামনের দিকে যেয়ে মেয়েটি অনেক হাসবে,Sylhet  সামনর দিকে যাইয়া ফুড়িটা বহুত হাসবো,ʃɔlhe  ʃɐmnɔɾ d̪ɪke zɐ͡ɪ̯ʲɐ fuɽɪtɐ bohut̪ hɐʃbo
কেমন আছো ?,Sylhet ভালা আছনি?,ʃɔlhe bʱɐlɐ ɐcʰonɪ?
আজকে আমার মন ভালো নেই,Sylhet আইজকু আমার মন ভালা নায়,ʃɔlhe ɐ͡ɪ̯ɟku ɐmɐɾ mon bʱɐlɐ nɐe̯
তুমি কি করো ?,Sylhet তুমি কিতা খরো?,ʃɔlhe t̪umɪ kɪt̪ɐ kʰɔɾo?
এই গরমে আমার কিছু ভালো লাগে না,Sylhet অউ গরমো আমার কুনতা ভালা লাগের না,ʃɔlhe ɔ͡u̯ gɔɾmo ɐmɐɾ kunt̪ɐ bʱɐlɐ lɐgeɾ nɐ
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,Sylhet ফুয়াটায় এখটা সাদা রংগর শার্ট পিন্দিয়া আইছিল,ʃɔlho pʰuʲɐtɐe̯ ɛkʰtɐ ʃɐd̪ɐ ɾɔŋgoɾ ʃɐɾt pɪnd̪ɪʲɐ ɐ͡ɪ̯cʰɪlo
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,Sylhet ফুড়িটায় লাল রংগর শাড়ি পিন্দিয়া মোর লগে দেখা করাত আইছিল,ʃɔlho pʰuɽɪtɐe̯ lɐl ɾɔŋgoɾ ʃɐɽɪ pɪnd̪ɪʲɐ moɾ lɔge d̪ɛkʰɐ kɔɾɐt̪ ɐ͡ɪ̯cʰɪlo
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,Sylhet ফুয়াটায় সিলেট থাকি ঢাকাত আইছে,ʃɔlho pʰuʲɐtɐe̯ sɪlet t̪ʰɐkɪ dʱɐkɐt̪ ɐ͡ɪ̯cʰe
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,Sylhet ফুড়িটায় সিলেট থাকি আওয়া অউ ফুয়াটারে অনেক ভালা পায়,ʃɔlho pʰuɽɪtɐe̯ sɪlet t̪ʰɐkɪ ɐ͡o̯ʷɐ ɔ͡u̯ pʰuʲɐtɐɾe ɔnek bʱɐlɐ pɐe̯
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,Sylhet ফুয়াটায় এবো ধরি ফুড়িটারে ভালা পাওয়ার চউকে দেখছে না,ʃɔlho pʰuʲɐtɐe̯ ebo d̪ʱoɾɪ pʰuɽɪtɐɾe bʱɐlɐ pɐ͡o̯ʷɐɾ cɔ͡u̯ke d̪ekʰcʰe nɐ
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,Sylhet ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে,ʃɔlho pʰuɽɪtɐ͡ɐ̯e̯ t̪ɐ͡ɪ̯ɾ hɔkʰl ʃɔpʰnoɾ mɐɟe pʰuʲɐtɐɾe kɔlponɐ koɾe
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,Sylhet আমার বাক্কা আগে এখবার বিয়া অইছিল,ʃɔlho ɐmɐɾ bɐkkɐ ɐge ekʰobɐɾ bɪʲɐ e͡ɪ̯cʰɪlo
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,Sylhet আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়,ʃɔlhe ɐmɐɾ ɐmmɐe̯ ɐmɐɾe ko͡ɪ̯cʰɔlɐ bɪʲɐ ɛ͡ɪ̯le ɟɪbɔn bod̪olɪ ɟɐe̯
আম্মু ঐদিন ঠিক কথাই বলেছিলও,Sylhet আম্মায় হেদিন ঠিক কথাউ কইছলা,ʃɔlhe ɐmmɐe̯ hed̪ɪn tʰɪk kɔt̪ʰɐ͡u̯ ko͡ɪ̯cʰɔlɐ
আম্মু সব সময় আমার মনের কথা বুঝে,Sylhet আম্মায় হখল সময় অউ আমার মনর কথা বুজইন,ʃɔlhe ɐmmɐe̯ hɔkʰl ʃɔmɔe̯ ɔ͡u̯ ɐmɐɾ monoɾ kɔt̪ʰɐ buɟɪn
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,Sylhet আমার বাসার কামর ফুড়িটায় এখন ভালা মত কাম করে না,ʃɔlhe ɐmɐɾ bɐʃɐɾ kɐmoɾ pʰuɽɪtɐe̯ ɛkʰon bʱɐlɐ mɔt̪ kɐm koɾe nɐ
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,Sylhet আমার বাসাার কামর ফুড়িটায় দুইদিন ধরি ভাগন্তিত ,ʃɔlhe ɐmɐɾ bɐʃɐɾ kɐmoɾ pʰuɽɪtɐe̯ d̪u͡ɪ̯d̪ɪn d̪ʱoɾɪ bʱɐgont̪ɪt̪o 
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,Sylhet আমার বাসার দারোয়ান এখন তার গ্রামো পাখানিত গেছে,ʃɔlhe ɐmɐɾ bɐʃɐɾ d̪ɐɾoʷɐn ɛkʰon t̪ɐɾ gɾɐmo pɐkʰɐnɪt̪o gecʰe
তোমাকে আমি কল দিবো না,Sylhet আমি তুমারে কল দিতাম নায় ,ʃɔlho ɐmɪ t̪umɐɾe kɔl d̪ɪt̪ɐm nɐe̯ 
এই জিনিষটা খুবই বিরক্তিকর ছিল,Sylhet অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল,ʃɔlhe ɔ͡u̯ zɪnɪʃtɐ xubɔ͡ɪ̯  bɪɾokt̪ɪkɔɾ ɐcʰɪlo
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,Sylhet হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,ʃɔlho he sɪlet t̪ʰɐkɪ ɐmɐɾ lɔge d̪ɛkʰɐ kɔɾɐt̪ ɐ͡ɪ̯cʰɪlo
সে এখন রাজশাহী চলে গেছে,Sylhet হে এখন রাজশাহীত গেছে গিয়া,ʃɔlhe he ɛkʰon ɾɐɟʃɐhɪt̪ gecʰe gɪʲɐ
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,Sylhet হে এখন তার বন্ধুবান্ধবর লগে সিগারেট খায়,ʃɔlhe he ɛkʰon t̪ɐɾ bond̪ʱubɐnd̪ʱobɔɾ lɔge ʃɪgɐɾet kʰɐe̯
সে একদমই হাসে না,Sylhet হে এখেবারেউ হাসে না,ʃɔlhe he ekʰebɐɾe͡u̯ hɐʃe nɐ
সে আমাকে অপমান করে,Sylhet হে আমারে অপমান করে,sɪhet he ɐmɐɾe ɔpomɐn koɾe
তাঁর বই পরতে একদমই ভাল লাগে না,Sylhet তার বই পড়তে একদম অউ ভালা লাগে না,ʃɔlhe t̪ɐɾ bo͡ɪ̯ poɽt̪e ɛkd̪ɔm ɔ͡u̯ bʱɐlɐ lɐge nɐ
আপনার কি বই পড়ার অভ্যাস আছে ?,Sylhet আফনার কিতা বই পড়ার অভ্যাস আছে নি?,ʃɔlhe ɐpʰnɐɾ kɪt̪ɐ bo͡ɪ̯ pɔɽɐɾ ɔbbʱɐʃ ɐcʰe nɪ?
তুমি কি আমাকে চিনো ?,Sylhet তুমি আমারে চিনো নি?,ʃɔlhe t̪umɪ ɐmɐɾe cɪno nɪ?
আমি তোমাকে চিনতে  পারলাম  না,Sylhet মুই তুুমারে চিনতাম পারিয়ার না,ʃɔlho mu͡ɪ̯ t̪umɐɾe cɪnt̪ɐm pɐɾɪʲɐɾ nɐ
আমি তোমাকে আগে কখনো দেখি নাই,Sylhet মুই তুমারে এর আগে কুনোদিন দেখছি না,ʃɔlhe mu͡ɪ̯ t̪umɐɾe eɾ ɐge kunod̪ɪn d̪ekʰcʰɪ nɐ
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,Sylhet পড়ালেখা করতে আমার এখদম ভালা লাগে না,ʃɔlhe pɔɽɐlexɐ koɾt̪e ɐmɐɾ ɛxd̪ɔm vɐlɐ lɐge nɐ
আপনার পড়ালেখা করা উচিত,Sylhet আফনার পড়ালেখা করা উচিত,ʃɔlhe ɐpʰnɐɾ pɔɽɐlekʰɐ kɔɾɐ ucɪt̪
আপনাকে পড়ালেখা  করতে হবে,Sylhet আফনার পড়ালেখা খরা লাগবো,ʃɔlhe ɐpʰnɐɾ pɔɽɐlexɐ xɔɾɐ lɐgbo
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,Sylhet আফনার কিতা পড়ালেখা করতে এখদম ভালা লাগে নানি?,ʃɔlhe ɐpʰnɐɾ kɪt̪ɐ pɔɽɐlekʰɐ koɾt̪e ɛkʰod̪ɔm bʱɐlɐ lɐge nɐnɪ?
তোর পড়ালেখা কোরতে হবে,Sylhet তর পড়ালেখা করা লাগবো,ʃɔlhe t̪ɔɾ pɔɽɐlexɐ kɔɾɐ lɐgbo
তুই কি আর পড়ালেখা করবি নাহ ?,Sylhet তুই কিতা আর পড়ালেখা করতে নানি,ʃɔlhe t̪u͡ɪ̯ kɪt̪ɐ ɐɾ pɔɽɐlexɐ koɾt̪e nɐnɪ
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,Sylhet তুই কিতা পড়ালেখা ছাড়িত্তে নি?,ʃɔlhe t̪u͡ɪ̯ kɪt̪ɐ pɔɽɐlexɐ cʰɐɽɪt̪t̪e nɪ?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,Sylhet তর কিতা পড়ালেখা করতে এখদম অউ ভালা লাগে নানি,ʃɔlhe t̪ɔɾ kɪt̪ɐ pɔɽɐlexɐ koɾt̪e ɛxd̪ɔm ɔ͡u̯ vɐlɐ lɐge nɐnɪ
তুমি কি এখন খেতে বসবা  ?,Sylhet তুমি কিতা এখন খানিত বইবায় নি?,ʃɔlhe t̪umɪ kɪt̪ɐ ɛkʰon kʰɐnɪt̪o bo͡ɪ̯bɐe̯ nɪ?
আজকে আমার খেতে ভালো লাগছে না,Sylhet আইজকু আমার খাইতে ভালা লাগের না,ʃɔlho ɐ͡ɪ̯ɟku ɐmɐɾ kʰɐ͡ɪ̯t̪e bʱɐlɐ lɐgeɾ nɐ
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,Sylhet ইস্কুলো আমার বাক্কা বন্ধু আছে,ʃɔlɪ ɪskulo ɐmɐɾ bɐkkɐ bond̪ʱu ɐcʰe
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,Sylhet আমার ছুটো বইন ইস্কুলো যাইতে চায় না,ʃɔlhe ɐmɐɾ cʰuto bo͡ɪ̯n ɪskulo ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,Sylhet আমার ইস্কু্ল যাইতে অনেক ভালা লাগে, ʃɔlho ɐmɐɾ ɪskul ɟɐ͡ɪ̯t̪e ɔnek bʱɐlɐ lɐge
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,Sylhet হে তার গাউর এখটা ইস্কুলো পড়ে,ʃɔlhe he t̪ɐɾ gɐ͡u̯ɾ ɛkʰtɐ ɪskulo pɔɽe
সে বিদ্যালয়ে যেতে চায় না,Sylhet হে ইস্কুলো যাইতো চায় না,ʃɔlhe he ɪskulo ɟɐ͡ɪ̯t̪o cɐe̯ nɐ
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,Sylhet তার ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগে না,ʃɔlhe t̪ɐɾ ɪskulo gɪʲɐ pɔɽɐlexɐ xɔɾot̪o vɐlɐ lɐge nɐ
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Sylhet হে ইস্কুলো গিয়া বন্ধুরার লগে গফ করে,ʃɔlhe he ɪskulo gɪʲɐ bond̪ʱuɾɐɾ lɔge gɔpʰ koɾe
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Sylhet হে ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়,ʃɔlhe he ɪskulɔɾ mɐtʰo fot̪t̪ekd̪ɪn kɾɪket xelɐe̯
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,Sylhet হে ইস্কুলর মাাঠো মাথা গুরাইয়া পরি গেছিল,ʃɔlhe he ɪskulɔɾ mɐtʰo mɐt̪ʰɐ guɾɐ͡ɪ̯ʲɐ poɾɪ gecʰɪlo
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,Sylhet হে বাক্কা আগে তার ইস্কুলর একটা ফুড়িরে ভালা পাইতো,ʃɔlhe he bɐkkɐ ɐge t̪ɐɾ ɪskulɔɾ ɛktɐ pʰuɽɪɾe bʱɐlɐ pɐ͡ɪ̯t̪o
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,Sylhet ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে,ʃolhe pʰuʲɐtɐe̯ t̪ɐɾ gɐ͡u̯ɾ cʰuto ɛkʰtɐ ɪskul t̪ʰɐkɪ poɽɪʲɐ eʃo͡e̯ssɪ pɐʃ kʰoɾcʰe
তোমাদের বাসা কোথায়?,Sylhet তুমার বাসা খই?,ʃɔlɔt t̪umɐɾ bɐʃɐ xo͡ɪ̯?
ঢাকা বাংলাদেশের রাজধানী,Sylhet ঢাকা বাংলাদেশর রাজধানী,ʃɔlhe dʱɐkɐ bɐŋlɐd̪eʃɔɾ ɾɐɟd̪ʱɐnɪ
তুমি কি আমার সাথে প্রেম করবা?,Sylhet তুমি কিতা আমার লগে পিরিত করবায় নি?,ʃɔlhe t̪umɪ kɪt̪ɐ ɐmɐɾ lɔge pɪɾɪt̪o koɾbɐe̯ nɪ?
আমি আজকে সকালে ফুটবল খেলেছি,Sylhet মুই আইজ বিয়ানে ফুটবল খেলাইছি,ʃɔlhe mu͡ɪ̯ ɐ͡ɪ̯ɟ bɪʲɐne pʰutbɔl kʰelɐ͡ɪ̯cʰɪ
আমি তোমার মনের কথা বুঝি না,Sylhet মুই তুমার মনর খতা বুজি না ,ʃɔlhe mu͡ɪ̯ t̪umɐɾ monoɾ xɔt̪ɐ buzɪ nɐ 
তোমার জন্য আমার খুব কষ্ট হয়,Sylhet তুমার লাগি আমার খুব খষ্ট অয়,ʃɔlhe t̪umɐɾ lɐgɪ ɐmɐɾ kʰub kʰɔʃto ɔe̯
আমাদের স্বপ্ন অনেক বড়,Sylhet আমরার সফনো বহুত বড়,sɪhe ɐmɾɐɾ ʃɔpʰono bohut̪ bɔɽo
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,Sylhet অল্প বয়সর এখটা ফুয়া বারে ফুটপাতো দৌড়ার,ʃɔlhe ɔlpo bɔʲoʃɔɾ extɐ fuʲɐ bɐɾe futpɐt̪o d̪o͡u̯ɽɐɾ
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,Sylhet এখটা ছুটো মনা বিছনাত লাফাইয়া উটের,ʃɔlhe ɛkʰtɐ cʰuto monɐ bɪcʰonɐt̪ lɐpʰɐ͡ɪ̯ʲɐ uteɾ
একটি ছেলে বিছানায় লাফাচ্ছে,Sylhet এখটা ফুয়া বিছনাত ফালার,ʃɔlhe ɛxtɐ fuʲɐ bɪcʰonɐt̪ fɐlɐɾ
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,Sylhet এখটা ফুুয়া এক বিছনা থাকি আরোখ বিছনাত ফাল দের,ʃɔlhe ɛkʰtɐ pʰũʲɐ ɛk bɪcʰɔnɐ t̪ʰɐkɪ ɐɾokʰ bɪcʰonɐt̪ pʰɐl d̪eɾ
একটি ছোট শিশু ফুটপাতে হাঁটছে,Sylhet এখটা হুরু মনা ফুটপাতো আটের,ʃɔlhe ɛkʰtɐ huɾu monɐ pʰutpɐt̪o ɐteɾ
আমি একজন ছেলে,Sylhet মুই এখটা ফুয়া,ʃɔlhe mu͡ɪ̯ ɛkʰtɐ pʰuʲɐ
আমি একজন মেয়ে,Sylhet মুই এখটা ফুড়ি,ʃɔlho mu͡ɪ̯ ɛkʰtɐ pʰuɽɪ
আমার স্বামী আমাকে খুব ভালোবাসে,Sylhet আমার জামাই আমারে খুব ভালা পায়, sɪlhe ɐmɐɾ ɟɐmɐ͡ɪ̯ ɐmɐɾe kʰub bʱɐlɐ pɐe̯
স্কুল জীবন থেকে তাদের প্রেম ছিলো,Sylhet ইস্কুল জীবন থাকি তারার পিরিত আছিল,ʃɔlho ɪskul ɟɪbɔn t̪ʰɐkɪ t̪ɐɾɐɾ pɪɾɪt̪o ɐcʰɪlo
আমি বিবাহ করেছি দশ বছর হয়,Sylhet আমার বিয়ার দশ বছর অর,ʃɔlhe ɐmɐɾ bɪʲɐɾ d̪ɔʃ bɔcʰoɾ ɔɾ
অসম্ভব ভাল ছবি,Sylhet বহুত ভালা ছবি,ʃɔlɔt bohut̪ bʱɐlɐ cʰobɪ
বহুদিন পরে একটা ভাল ছবি দেখলাম,Sylhet  বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম,ʃɔlhe  bɐkkɐd̪ɪn bɐd̪e ɛkʰtɐ bʱɐlɐ cʰobɪ d̪ekʰlɐm
অসম্ভব ভালো লিখেছেন,Sylhet বহুুত ভালা লেখছইন,ʃɔlhe bohut̪ bʱɐlɐ lekʰcʰo͡ɪ̯n
বহুদিন পরে একটা ভালো লেখা পড়লাম,Sylhet বাক্কাদিন বাদে এখটা ভালা লেখা পড়লাম,ʃɔlhe bɐkkɐd̪ɪn bɐd̪e ekʰtɐ bʱɐlɐ lekʰɐ pɔɽlɐm
প্রচণ্ড মাথা ব্যথা করছিলো,Sylhet যে মাথাত বেদনা ধরছিল,ʃɔlhe ɟe mɐt̪ʰɐt̪ bed̪onɐ d̪ʱoɾcʰɪlo
কিছুই বুঝতে পারলাম না,Sylhet কুনতা বুঝতাম ফারলাম না,ʃɔlhet kunt̪ɐ buɟʱt̪ɐm pʰɐɾlɐm nɐ
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,Sylhet তাইন অখটা দেখিয়া গিয়ান আরাই লাইছইন,ʃɔlhe t̪ɐ͡ɪ̯n ɔkʰtɐ d̪ekʰɪʲɐ gɪʲɐn ɐɾɐ͡ɪ̯ lɐ͡ɪ̯cʰo͡ɪ̯n
এক কথায় অনেক সুন্দর লাগছে আপনাকে,Sylhet এক খতায় আফনারে বাক্কা সুন্দর লাগের,ʃɔlhet ɛk xɔt̪ɐe̯ ɐfnɐɾe bɐkkɐ ʃund̪ɔɾ lɐgeɾ
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,Sylhet আফনার ছবি থাকি আফনে বাস্তবে অনেখ বেশি সুন্দর,ʃɔlhe ɐpʰnɐɾ cʰobɪ t̪ʰɐkɪ ɐcʰone bɐst̪obe ɔnekʰo beʃɪ ʃund̪ɔɾ
আপনার হাশির কাছে সব কিছু হার মেনে যায়,Sylhet আফনার হাসির কাছে সব কিছু হার মানি যায়,ʃɔlhe ɐpʰnɐɾ hɐʃɪɾ kɐcʰe ʃɔb kɪcʰu hɐɾ mɐnɪ ɟɐe̯
আপনার চোখ অনেক সুন্দর,Sylhet আফনার চউক অনেখ সুন্দর,ʃɔlhe ɐpʰnɐɾ cɔ͡u̯k ɔnekʰ ʃund̪ɔɾ
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,Sylhet আফনার লগেে পরিচিত অইয়া ভালা লাগলো,ʃɔlhe ɐpʰnɐɾ lɔge poɾɪcɪt̪o ɔ͡ɪ̯ʲɐ bʱɐlɐ lɐglo
অনেক সময় পর আপনাকে দেখছি,Sylhet বাক্কা সময় পর আফনারে দেখলাম,ʃɔlhe bɐkkɐ ʃɔmɔe̯ pɔɾ ɐpʰnɐɾe d̪ekʰlɐm
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Sylhet দুই ভাইর মাঝে জাগা জমিন লইয়া মাইর অয়,ʃɔlhe d̪u͡ɪ̯ bʱɐ͡ɪ̯ɾ mɐɟʱe ɟɐgɐ ɟomɪn lɔ͡ɪ̯ʲɐ mɐ͡ɪ̯ɾ ɔe̯
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,Sylhet বাদে এক ভাই কুয়েত গেছেগি আর আরোখ ভাই সুদান গেছে গি,ʃɔlhe bɐd̪e ɛk vɐ͡ɪ̯ kuʲet̪ gecʰegɪ ɐɾ ɐɾox vɐ͡ɪ̯ ʃud̪ɐn gecʰe gɪ
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,Sylhet কয়দিন পর সুদান থাকি আওয়া বেটায় বিয়া করইন,ʃɔlhe kɔʲd̪ɪn pɔɾ ʃud̪ɐn t̪ʰɐkɪ ɐ͡o̯ʷɐ betɐe̯ bɪʲɐ koɾɪn
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","Sylhet মোবাইল ছাড়া বাথরুমে গেলেগি, মনে অয় দরখারি ফাইল ছাড়া অফিসো বই রইছি","ʃɔlho mobɐ͡ɪ̯l cʰɐɽɐ bɐt̪ʰɾume gelegɪ, mone ɔe̯ d̪ɔɾkʰɐɾɪ pʰɐ͡ɪ̯l cʰɐɽɐ ɔpʰɪso bo͡ɪ̯ ɾo"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,Sylhet যারার গালি দেওয়া অই গেছে তারা দয়া করি লাইন থাকি হরি যাইন,ʃɔlhe ɟɐɾɐɾ gɐlɪ d̪e͡o̯ʷɐ ɔ͡ɪ̯ gecʰe t̪ɐɾɐ d̪ɔʲɐ koɾɪ lɐ͡ɪ̯n t̪ʰɐkɪ hoɾɪ ɟɐ͡ɪ̯n
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,Sylhet পিছেদি এখনো বাক্কা মানুষ লাইনো উবানিত,ʃɔlhet pɪcʰed̪ɪ ɛxono bɐkkɐ mɐnuʃ lɐ͡ɪ̯no ubɐnɪt̪o
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,Sylhet তারারে গালি দেওয়ার সুযোগ খরি দেইন,ʃɔlhe t̪ɐɾɐɾe gɐlɪ d̪e͡o̯ʷɐɾ ʃuzog xoɾɪ d̪e͡ɪ̯n
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,Sylhet বেশি কুনতা খইতাম নায় কারণ আবেগে চকুত পানি আইচ্চে, ʃɔlhe beʃɪ kunt̪ɐ kʰo͡ɪ̯t̪ɐm nɐe̯ kɐɾon ɐbege cokut̪ pɐnɪ ɐ͡ɪ̯cce
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,Sylhet তুমি কইরায় যে থাকার হে এমনেউ থাকি যাইবো,ʃɔlhe t̪umɪ ko͡ɪ̯ɾɐe̯ ɟe t̪ʰɐkɐɾ he ɛmone͡u̯ t̪ʰɐkɪ ɟɐ͡ɪ̯bo
প্রথমে আপনাকে একটি দোকানে যেতে হবে,Sylhet  পয়লা আফনারে এখটা দুকানো যাওয়া লাগবো,ʃɔlho  pɔʲlɐ ɐpʰnɐɾe ekʰtɐ d̪ukɐno ɟɐ͡o̯ʷɐ lɐgbo
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,Sylhet নিজর পছন্দর বিয়াত বাফ মারে রাজি করানি অইলো,ʃɔlhe nɪɟɔɾ pɔcʰond̪ɔɾ bɪʲɐt̪ bɐpʰ mɐɾe ɾɐɟɪ kɔɾɐnɪ ɔ͡ɪ̯lo
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,Sylhet  ফুড়িটায় লাল শাড়ি পিন্দিয়া উবানিত,ʃɔlhe  pʰuɽɪtɐe̯ lɐl ʃɐɽɪ pɪnd̪ɪʲɐ ubɐnɪt̪o
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,Sylhet বউর লাগি বন্ধুরার সামনে মুখ দেখানির আর উপায় নাই,ʃɔlhe bɔ͡u̯ɾ lɐgɪ bond̪ʱuɾɐɾ ʃɐmne mux d̪ɛxɐnɪɾ ɐɾ upɐe̯ nɐ͡ɪ̯
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,Sylhet আমারে সবর সামনে মারতে মারতে বাসাত লইয়া আয়।, sɪlhe ɐmɐɾe ʃɔboɾ ʃɐmne mɐɾt̪e mɐɾt̪e bɐʃɐt̪ lɔ͡ɪ̯ʲɐ ɐe̯।
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,Sylhet মুই জানি ইকানো অনেক ফুড়িন কমেন্ট ফরার লাগি আইবা,ʃɔlhe mu͡ɪ̯ ɟɐnɪ ɪkɐno ɔnek pʰuɽɪn kɔment pʰɔɾɐɾ lɐgɪ ɐ͡ɪ̯bɐ
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,Sylhet মাঝে মাঝে মনে অয় ঘরবাড়ি সব মশার নামে লেকিয়া দিয়া মুই জঙ্গলো যাই গিয়া,ʃɔlhe mɐɟʱe mɐɟʱe mone ɔe̯ gʱɔɾbɐɽɪ ʃɔb mɔʃɐɾ nɐme lekɪʲɐ d̪ɪʲɐ mu͡ɪ̯ ɟɔŋgolo ɟɐ͡ɪ̯ g
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","Sylhet মুই তুমার অইয়া আছি, তুমার অইয়া থাকমু","ʃɔlhe mu͡ɪ̯ t̪umɐɾ ɔ͡ɪ̯ʲɐ ɐcʰɪ, t̪umɐɾ ɔ͡ɪ̯ʲɐ t̪ʰɐkmu"
সারা জীবন তোমায় আমি ভালবেসে যাবো,Sylhet সারাজীবন তুমারে মুই ভালোবাসিয়া যাইমু,ʃɔlhe ʃɐɾɐɟɪbɔn t̪umɐɾe mu͡ɪ̯ bʱɐlobɐʃɪʲɐ ɟɐ͡ɪ̯mu
"পাশে থেকো সারা জীবন ,দূরে যেয়ো না","Sylhet লগে থাকিও সাড়া জীবন, দূরই যাইয়ো না","ʃɔlhe lɔge t̪ʰɐkɪ͡o̯ ʃɐɽɐ ɟɪbɔn, d̪uɾɪ ɟɐ͡ɪ̯ʲo nɐ"
তোমায় ছাড়া একটুও আমার ভালো লাগে না,Sylhet তুমারে ছাড়া আমার একটুও ভালা লাগে না,ʃɔlhe t̪umɐɾe cʰɐɽɐ ɐmɐɾ ektu͡o̯ bʱɐlɐ lɐge nɐ
"কাউকে আবেগের ভালোবাসা দিওনা, মনের ভালোবাসা দিও ","Sylhet খেউরে আবেগর ভালোবাসা দিও না, মনর ভালোবাসা দিও","ʃɔlhe xe͡u̯ɾe ɐbegoɾ vɐlobɐʃɐ d̪ɪ͡o̯ nɐ, monoɾ vɐlobɐʃɐ d̪ɪ͡o̯"
কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে,Sylhet কারন আবেগর ভালোবাসা একদিন বিবেকর কাছে হারি যাইবো,ʃɔlhe kɐɾon ɐbegoɾ bʱɐlobɐʃɐ ɛkd̪ɪn bɪbekɔɾ kɐcʰe hɐɾɪ ɟɐ͡ɪ̯bo
