bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
তোমাদের,t̪omad̪erɔ,তোমাগো,t̪omɐgo,তুমার,t̪umɐɾ,তোমরার,t̪omɾɐɾ,তোন্ডার,t̪ondɐɾ,তোয়ারারে,t̪oʷɐɾɐɾe,You,,
তোমায়,t̪omae̯ɔ,তোমারে,t̪omɐɾe,ছাড়া,cʰɐɽɐ,খুজেনা,kʰuɟenɐ,তোয়ারে,t̪oʷɐɾe,ফারি,fɐɾɪ,You,,
তোমার,t̪omarɔ,তোমার,t̪omɐɾ,তোমার,t̪omɐɾ,তোমার,t̪omɐɾ,তোর,t̪oɾ,তোইয়ার,t̪o͡ɪ̯ʲɐɾ,Your,,
তোমারই,t̪omari,হ্যায়,hɛe̯,হে,he,তোমারই,t̪omɐɾɪ,বুঝব,buɟʱb,ইতে,ɪt̪e,Yours,,
তোমাার,t̪omaarɔ,তোমার,t̪omɐɾ,তুমিতাইন,t̪umɪt̪ɐ͡ɪ̯n,তোমাার,t̪omɐɾ,তোয়ার,t̪oʷɐɾ,তুঁয়ার,t̪ũʲɐɾ,You,,
তোমায়,t̪omae̯ɔ,তোমারে,t̪omɐɾe,তোমায়,t̪omɐe̯,আমি,ɐmɪ,তোয়ারে,t̪oʷɐɾe,তোয়ারে,t̪oʷɐɾe,You,,
তোর,t̪orɔ,তোর,t̪oɾ,থোর,t̪ʰoɾ,তর,t̪ɔɾ,তোর,t̪oɾ,তোর,t̪oɾ,You,,
তোলতে,t̪ol̪t̪e,তোলতে,t̪olt̪e,তুলতে,t̪ult̪e,তুলতে,t̪ult̪e,ত্যুইলতে,t̪ɛ͡ɪ̯lt̪e,তুলিত,t̪ulɪt̪o,To raise,,
তোলার,t̪ol̪arɔ,তোলার,t̪olɐɾ,তোলার,t̪olɐɾ,তুলনের,t̪uloneɾ,তুইলবার,t̪u͡ɪ̯lbɐɾ,তোলার,t̪olɐɾ,Raising,,
তোলে,t̪ol̪e,তোলে,t̪ole,অন্য,ɔnno,তুলে,t̪ule,উডায়,udɐe̯,গাত,gɐt̪,Making,,
থমকে,t̪ʰɔmɔke,খারাইয়া,kʰɐɾɐ͡ɪ̯ʲɐ,থমকে,ɛmke,তাক,t̪ɐk,খাড়াই,kʰɐɽɐ͡ɪ̯,দারাই,d̪ɐɾɐ͡ɪ̯,Pale,,
থরে,t̪ʰɔre,থরে,t̪ʰoɾe,ফুল,ful,থরে,t̪ʰoɾe,থরে,t̪ʰoɾe,ঝাকত,zʱɐkɔt̪o,Out,,
থাকতাম,t̪ʰakt̪am,গ্রহে,gɾohe,গ্রহত,gɾohɔt̪o,গ্রহে,gɾohe,গ্রহে,gɾohe,মঙগল,gɾohɔt̪,Stay,,
থাকতে,t̪ʰakt̪e,থাকতে,t̪ʰɐkt̪e,থাকতে,t̪ʰɐkt̪e,থাকতে,t̪ʰɐkt̪e,লগে,lɔge,চাই,cɐ͡ɪ̯,In place,,
থাকতো,t̪ʰakt̪o,থাকতে,t̪ʰɐkt̪e,ঝগড়া,ɟʱɔgɽɐ,থাকত,t̪ʰɐkt,থাইকত,t̪ʰɐ͡ɪ̯kɔt̪o,আচিল,ɐcɪl,Stay,,
থাকবা,t̪ʰakba,থাকবা,t̪ʰɐkbɐ,থাখবায়,t̪ʰɐxbɐe̯,থাকবা,t̪ʰɐkbɐ,থাইকবা,t̪ʰɐ͡ɪ̯kbɐ,থাহিবা,t̪ʰɐhɪbɐ,Stay,,
থাকবে,t̪ʰakbe,থাকবে,t̪ʰɐkbe,অগু,ɔgu,থাকব,t̪ʰɐkbo,থাকবে,t̪ʰɐkbe,অর,ɔɾ,Remain,,
থাকবো,t̪ʰakbo,থাকমু,t̪ʰɐkmu,থাকমু,t̪ʰɐkmu,থাকবাম,t̪ʰɐkbɐm,থাকুম,t̪ʰɐkum,তাইক্কম,t̪ɐ͡ɪ̯kkom,Stay,,
থাকলে,t̪ʰakl̪e,থাকলে,t̪ʰɐkle,থাকলে,t̪ʰɐkle,থাকলে,t̪ʰɐkle,থাইক্লে,t̪ʰɐ͡ɪ̯kle,থাকিলে,t̪ʰɐkɪle,If,,
থাকলেও,t̪ʰakl̪eo,থাকলেও,t̪ʰɐkle͡o̯,থাখলেও,t̪ʰɐkʰle͡o̯,থাকলেও,t̪ʰɐkle͡o̯,থাইকলেও,t̪ʰɐ͡ɪ̯kɔle͡o̯,তাকিলেও,t̪ɐkɪle͡o̯,But,,
থাকা,t̪ʰaka,থাহা,t̪ʰɐhɐ,থাকা,t̪ʰɐkɐ,থাকা,t̪ʰɐkɐ,থাকা,t̪ʰɐkɐ,তাকা,t̪ɐkɐ,Be,,
থাকাকালীন,t̪ʰakakal̪in̪ɔ,থাহাকালিন,t̪ʰɐhɐkɐlɪn,ইয়ারো,ɪʲɐɾo,থাকাকালীন,t̪ʰɐkɐkɐlɪn,থাকাকালীন,t̪ʰɐkɐkɐlɪn,তাকিতেই,t̪ɐkɪt̪e͡ɪ̯,In the meantime,,
থাকাটা,t̪ʰakata,থাহাডা,t̪ʰɐhɐdɐ,বাছিয়া,bɐcʰɪʲɐ,থাকাটা,t̪ʰɐkɐtɐ,কষ্টকর,koʃtokɔɾ,তাহা,t̪ɐhɐ,Stay,,
থাকার,t̪ʰakarɔ,থাহার,t̪ʰɐhɐɾ,থাকার,t̪ʰɐkɐɾ,থাকার,t̪ʰɐkɐɾ,লাই,lɐ͡ɪ̯,লাই,lɐ͡ɪ̯,Stay,,
থাকি,t̪ʰaki,থাহি,t̪ʰɐhɪ,থাকি,t̪ʰɐkɪ,থাকি,t̪omɐɾe,আসি,ɐʃɪ,তাহি,t̪ɐhɪ,Stay,,
থাকুন,t̪ʰakun̪,থাহেন,t̪ʰɐhen,থাকোউকা,t̪ʰɐko͡u̯kɐ,থাহেন,t̪ʰɐhen,থান,t̪ʰɐn,তাইক্কো,t̪ɐ͡ɪ̯kko,Stay,,
থাকে,t̪ʰake,থাহে,t̪ʰɐhe,রাজশাহী,ɾɐɟʃɐhɪ,থাকে,t̪ʰɐke,থায়,t̪ʰɐe̯,অফেক্কায়,ɔfekkɐe̯,Stay,,
থাকো,t̪ʰako,থাহো,t̪ʰɐho,লগে,lɔge,থাকো,t̪ʰɐko,কন্ডে,kɔnde,তাকো,t̪ɐko,Stay,,
থাকো?,t̪ʰako?,থাহো?,t̪ʰɐho?,থাকো?,t̪ʰɐko?,থাহো?,t̪ʰɐho?,থাকো,t̪ʰɐko,তাকো?,t̪ɐko?,Stay,,
থানায়,t̪ʰan̪ae̯ɔ,থানায়,t̪ʰɐnɐe̯,থানাত,t̪ʰɐnɐt̪,থানায়,t̪ʰɐnɐe̯,থানায়,t̪ʰɐnɐe̯,থানাত,t̪ʰɐnɐt̪,In the police station,,
থামলো,t̪ʰaml̪o,থামলে,t̪ʰɐmle,থামলো,t̪ʰɐmlo,থামলো,t̪ʰɐmlo,থাইমলো,t̪ʰɐ͡ɪ̯mɔlo,নো,no,Stopped,,
থুথু,t̪ʰut̪ʰu,ছ্যাপ,cʰɛp,সেব,ʃeb,থুথু,t̪ʰut̪ʰu,সেপ,ʃep,সেপ,ʃep,Spit,,
থেকে,t̪ʰeke,গোনে,gone,থাকি,t̪ʰɐkɪ,ঢাকাত,dʱɐkɐt̪,উঠিই,utʰɪ͡ɪ̯,তাকি,t̪ɐkɪ,From,,
থেকো,t̪ʰeko,থাইক্কো,t̪ʰɐ͡ɪ̯kko,থাকিও,t̪ʰɐkɪ͡o̯,থাইক্কো,t̪ʰɐ͡ɪ̯kko,থাকিও,t̪ʰɐkɪ͡o̯,তাইক্কো,t̪ɐ͡ɪ̯kko,Stay,,
থেমে,t̪ʰeme,থাইম্মা,t̪ʰɐ͡ɪ̯mmɐ,থামিয়া,t̪ʰɐmɪʲɐ,থাইম্মা,t̪ʰɐ͡ɪ̯mmɐ,থামি,t̪ʰɐmɪ,জীবন,zɪbɔn,Stop,,
দক্ষিণের,d̪ɔkʂinerɔ,দক্ষিনের,d̪okkʰɪneɾ,দক্ষিণ,d̪okkʰɪn,দক্ষিণের,ɟelɐ,দইণের,d̪o͡ɪ̯neɾ,দইন,d̪o͡ɪ̯n,South,,
দখতে,d̪ɔkʰɔt̪e,দ্যাখতে,d̪ɛkʰot̪e,দেখছি,d̪ekʰcʰɪ,দখতে,d̪okʰt̪e,দেইখতে,d̪e͡ɪ̯kʰot̪e,দেক্কি,d̪ekkɪ,In the face of,,
দয়া,d̪e̯a,কইরা,ko͡ɪ̯ɾɐ,দয়া,d̪ɔʲɐ,দয়া,d̪ɔʲɐ,দয়াকরি,d̪ɔʲɐkɾɪ,দয়া,d̪ɔʲɐ,Kindness,,
দরকার,d̪ɔrɔkarɔ,দরকার,d̪ɔɾkɐɾ,দরকার,d̪ɔɾkɐɾ,দরকার,d̪ɔɾkɐɾ,দরকার,d̪ɔɾkɐɾ,দরকার,ɐcʰɪlo?,Need,,
দল,d̪ɔl̪ɔ,দল,d̪ɔl,ফুটবল,pʰutbɔl,দল,d̪ɔl,দল,d̪ɔl,দল,d̪ɔl,Group,,
দলকে,d̪ɔl̪ɔke,দলেরে,d̪ɔleɾe,দলরে,d̪ɔlɾe,দলরে,d̪ɔlɾe,দলরে,d̪ɔlɾe,দলরে,d̪ɔlɾe,Party,,
দলের,d̪ɔl̪erɔ,দল,d̪ɔl,শক্তিশালী,ʃɔkt̪ɪʃɐlɪ,দলের,d̪ɔleɾ,দলের,d̪ɔleɾ,দল্লিনঅর,d̪ɔllɪnɔɾ,Group,,
দশ,d̪ɔɕɔ,১০,d̪ʱɔd̪o,বছর,bɔcʰoɾ,দশ,d̪ɔʃ,দশ,d̪ɔʃ,দশ,d̪ɔʃ,Ten,,
দাঁড়িয়ে,d̪ɔ̃ɽie̯e,খারাইয়া,kʰɐɾɐ͡ɪ̯ʲɐ,দাঁড়িয়া,d̪ɐ̃ɽɪʲɐ,খারায়া,kʰɐɾɐʲɐ,খাড়াই,kʰɐɽɐ͡ɪ̯,তিয়াই,t̪ɪʲɐ͡ɪ̯,Stand,,
দাঁত,d̪ɔ̃t̪ɔ,দাঁতে,d̪ɐ̃t̪e,দাঁতও,d̪ɐ̃t̪o,দাঁত,d̪ɐ̃t̪,দাঁতে,d̪ɐ̃t̪e,দাতে,d̪ɐt̪e,Tooth,,
দাঁড়ালেন,d̪ɔ̃ɽal̪en̪,খারাইছে,kʰɐɾɐ͡ɪ̯cʰe,দাড়াইলা,d̪ɐɽɐ͡ɪ̯lɐ,খাড়াইলেন,kʰɐɽɐ͡ɪ̯len,দাঁড়াইলেন,d̪ɐ̃ɽɐ͡ɪ̯len,গিয়োয়,gɪʲoe̯,Stood,,
দাঁড়িয়ে,d̪ɔ̃ɽie̯e,খারাইয়া,kʰɐɾɐ͡ɪ̯ʲɐ,দাড়িনিত,d̪ɐɽɪnɪt̪o,বাইন্ধা,bɐ͡ɪ̯nd̪ʱɐ,খাবই,xɐbo͡ɪ̯,তিয়াই,t̪ɪʲɐ͡ɪ̯,Stand,,
দাও,d̪ao,দেও,d̪e͡o̯,দাও,d̪ɐ͡o̯,দেও,d̪e͡o̯,দো,d̪o,সময়,ʃɔmɔe̯,Give,,
দাওয়াত,d̪aoe̯at̪ɔ,দাওয়াত,d̪ɐ͡o̯ʲɐt̪,আমরার,ɐmɾɐɾ,দাওয়াত,d̪ɐ͡o̯ʲɐt̪,দাওয়াত,d̪ɐ͡o̯ʲɐt̪,দঅত,d̪ɔ͡ɔ̯t̪o,Invitation,,
দাদা,d̪ad̪a,দাদায়,d̪ɐd̪ɐe̯,দাদা,d̪ɐd̪ɐ,দাদা,d̪ɐd̪ɐ,দাদা,d̪ɐd̪ɐ,দাদার,d̪ɐd̪ɐɾ,Grandpa,,
দাদার,d̪ad̪arɔ,দাদার,d̪ɐd̪ɐɾ,দাদার,d̪ɐd̪ɐɾ,দাদার,d̪ɐd̪ɐɾ,দাাদার,d̪ɐɐd̪ɐɾ,দাদার,d̪ɐd̪ɐɾ,Grandmother,,
দাদি,d̪ad̪i,বু,bu,দাদিয়ে,d̪ɐd̪ɪʲe,দাদি,d̪ɐd̪ɪ,বুইজা,bu͡ɪ̯ɟɐ,দাদিি,d̪ɐd̪ɪ,Grandmother,,
দাদির,d̪ad̪irɔ,বুর,buɾ,দাদির,d̪ɐd̪ɪɾ,দাদির,d̪ɐd̪ɪɾ,বুইজার,bu͡ɪ̯zɐɾ,দাদির,d̪ɐd̪ɪɾ,Grandmother,,
দাদু,d̪ad̪u,দাদা,d̪ɐd̪ɐ,দাদু,d̪ɐd̪u,দাদু,d̪ɐd̪u,বুইজা,bu͡ɪ̯ɟɐ,দাদু,d̪ɐd̪u,Grandmother,,
দাবি,d̪abi,দাবি,d̪ɐbɪ,দাবি,d̪ɐbɪ,দাবি,koɾcʰɪlo,কইচ্ছে,ko͡ɪ̯ccʰe,ফক্কত্তুন,fokkot̪t̪un,Demand,,
দায়িত্ব,d̪ae̯it̪bɔ,দায়িত্ব,d̪ɐʲɪt̪t̪o,এর,eɾ,দায়িত্ব,d̪ɐʲɪt̪t̪o,দায়িত্ব,d̪ɐʲɪt̪t̪o,মতো,mɔt̪o,Responsibility,,
দায়িত্ববোধ,d̪ae̯it̪bɔbod̪̤ɔ,দায়িত্ববোধ,d̪ɐʲɪt̪t̪obod̪ʱ,দায়দায়িত্ব,d̪ɐʲd̪ɐʲɪt̪t̪o,দায়িত্ববোধ,d̪ɐʲɪt̪t̪obod̪ʱ,দায়িত্ববোধ,d̪ɐʲɪt̪t̪obod̪ʱ,আসে,ɐʃe,Attribute,,
দারওয়ান,d̪aroe̯an̪ɔ,চহিদার,cohɪd̪ɐɾ,দারওয়ান,d̪ɐɾoʷɐn,দারওয়ান,d̪ɐɾoʷɐn,দারোয়ান,d̪ɐɾoʷɐn,দারওয়ান,d̪ɐɾoʷɐn,Darwan,,
দারিয়ে,d̪arie̯e,আল্লাম,ɐllɐm,উবানিত,ubɐnɪt̪o,লাইজ্ঞা,lɐ͡ɪ̯ggɐ,গেছিলাম,gecʰɪlɐm,আসিলাম,ɐʃɪlɐm,Out,,
দারুন,d̪arun̪ɔ,মজা,mɔɟɐ,বেশ,beʃ,দারুন,d̪ɐɾun,লাইগছে,lɐ͡ɪ̯,এন,en,Well,,
দাড়িয়ে,d̪aɽie̯e,খারাইয়া,kʰɐɾɐ͡ɪ̯ʲɐ,উবানিত,ubɐnɪt̪o,খারায়া,kʰɐɾɐʲɐ,খাড়াই,kʰɐɽɐ͡ɪ̯,ফিন্দি,fɪnd̪ɪ,By,,
দিও,d̪io,দিও,d̪ɪ͡o̯,ভালোবাসা,vɐlobɐʃɐ,দিও।,d̪ɪ͡o̯।,করিও,koɾɪ͡o̯,চুরাই,cuɾɐ͡ɪ̯,Give,,
দিকে,d̪ike,দিক,d̪ɪk,দিকে,d̪ɪke,দিকে,d̪ɪke,মুকে,muke,মিক্কা,mɪkkɐ,Toward,,
দিচ্ছ,d̪it͡ɕt͡ɕʰɔ,দেতেয়াছো,d̪et̪eʲɐcʰo,দিরায়,d̪ɪɾɐe̯,দিতাসো,d̪ɪt̪ɐʃo,দিতেছো,d̪ɪt̪ecʰo,দিও,d̪ɪ͡o̯,Lap,,
দিচ্ছিল,d̪it͡ɕt͡ɕʰil̪,দেতেয়াছেলে,d̪et̪eʲɐcʰele,দোষ,d̪oʃ,দিতাসিল,d̪ɪt̪ɐʃɪl,দিতেআছিলো,d̪ɪt̪e͡ɐ̯cʰɪlo,দিয়ি,d̪ɪʲɪ,Gospel,,
দিচ্ছে,d̪it͡ɕt͡ɕʰe,লাপ,lɐp,দের,d̪eɾ,দিতাসে,d̪ɪt̪ɐʃe,দেএর,d̪e͡e̯ɾ,আঁরো,ɐ̃ɾo,Giving,,
দিছি,d̪it͡ɕʰi,দিছি,d̪ɪc,দিসি,d̪ɪʃɪ,দিসি,d̪,দিছি,d̪ɪcʰɪ,দোন,d̪on,Give,,
দিছে,d̪it͡ɕʰe,দেছে,d̪ecʰe,দিছইন,d̪ɪcʰɪn,দিসে,d̪ɪʃe,বিয়া,bɪʲɐ,দিয়ি,d̪ɪʲɪ,Give,,
দিত,d̪it̪,দেতে,d̪et̪e,দিতো,d̪ɪt̪o,দিত,d̪ɪt̪o,দি্তো,d̪ɪt̪o,ডাহিতো,dɐhɪt̪o,Used,,
দিতে,d̪it̪e,দেতে,d̪et̪e,দিতা,d̪ɪt̪ɐ,দিতে,d̪ɪt̪e,করি,koɾɪ,মত,mɔt̪,Pay,,
দিব,d̪ibɔ,দিমু,d̪ɪmu,তুমারে,t̪umɐɾe,দিমু,d̪ɪmu,তোয়ারে,t̪oʷɐɾe,দিয়্যুম,d̪ɪʲum,Lamp,,
দিবে,d̪ibe,দেবে,d̪ebe,আর,ɐɾ,সম্পর্ক,ʃɔmpoɾko,আর,ɐɾ,দে,d̪e,Donation,,
দিয়ে,d̪ie̯e,দিয়া,d̪ɪʲɐ,দিয়া,d̪ɪʲɐ,দিয়া,d̪ɪʲɐ,দি,d̪ɪ,দি,d̪ɪ,With,,
দিয়েছে,d̪ie̯et͡ɕʰe,দেছে,d̪ecʰe,উপহার,upohɐɾ,দিসে,d̪ɪʃe,দিছে,d̪ɪcʰe,কিচু,kɪcu,Give,,
দিলাম,d̪il̪am,দেলাম,d̪elɐm,দিলাইলাম,d̪ɪlɐ͡ɪ̯lɐm,দিলাম,d̪ɪlɐm,দিলাম,d̪ɪlɐm,দিলাম,d̪ɪlɐm,Give,,
দিলে,d̪il̪e,দেলে,d̪ele,দিলে,d̪ɪle,দিসে,d̪ɪʃe,দিলে,d̪ɪle,দিলে,d̪ɪle,Give,,
দিলো,d̪il̪o,দেছে,d̪ecʰe,দিলো,d̪ɪlo,দিল,d̪ɪl,দিলো,d̪ɪlo,ইন,ɪn,Give,,
দিয়ে,d̪ie̯e,দিয়া,d̪ɪʲɐ,দিয়া,d̪ɪʲɐ,আমি,ɐmɪ,দি,d̪ɪ,দি,d̪ɪ,With,,
দিয়েছে,d̪ie̯et͡ɕʰe,দেছে,d̪ecʰe,দিছে,d̪ɪcʰe,দিসে,d̪ɪʃe,দিছে,d̪ɪcʰe,দিয়ি,d̪ɪʲɪ,Give,,
দিয়েন,d̪ie̯en̪,দিয়েন,d̪ɪʲen,দেইন,d̪e͡ɪ̯n,দিয়েন,d̪ɪʲen,দিয়েন,d̪ɪʲen,দিয়ন,d̪ɪʲon,Dion,,
দু,d̪u,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দু,d̪u,Two,,
দু-টুকরো,d̪u-tukro,দুইটুকরা,d̪u͡ɪ̯tukɾɐ,ভাঙিয়া,bʱɐŋɪʲɐ,দুই-টুকরা,d̪u͡ɪ̯-tukɾɐ,দুই-টুকরা,-tukɾɐ,দুই,d̪u͡ɪ̯,Two-piece,,
দুই,d̪ui,দুজ্ঞা,d̪uggɐ,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,আরও,ɐɾɔ͡o̯,দুইবচর,d̪u͡ɪ̯bɔcɔɾ,Two,,
দুইজন,d̪uid͡ʑɔn̪ɔ,দুইজন,d̪u͡ɪ̯ɟɔn,দুইজন,d̪u͡ɪ̯zɔn,দুইজন,d̪u͡ɪ̯ɟɔn,দুইজন,d̪u͡ɪ̯zɔn,বই,bo͡ɪ̯,Two,,
দুইটা,d̪uita,দুজ্ঞা,d̪uggɐ,দুইগু,d̪u͡ɪ̯gu,দুইটা,d̪u͡ɪ̯tɐ,দুগা,d̪ugɐ,দুইয়ান,d̪u͡ɪ̯ʲɐn,Two,,
দুইটি,d̪uiti,দুজ্ঞা,d̪uggɐ,দুই,d̪u͡ɪ̯,দুইডা,d̪u͡ɪ̯dɐ,দুইআন,d̪u͡ɪ̯ɐn,দুওয়া,d̪u͡o̯ʷɐ,Two,,
দুইদিন,d̪uid̪in̪ɔ,দুজ্ঞাদিন,d̪uggɐd̪ɪn,দুইদিন,d̪u͡ɪ̯d̪ɪn,দুইদিন,d̪u͡ɪ̯d̪ɪn,হরে,hoɾe,দুইদিন,d̪u͡ɪ̯d̪ɪn,Two days,,
দুইবেলা,d̪uibel̪a,দুইবেলা,d̪u͡ɪ̯belɐ,দুই,d̪u͡ɪ̯,দুইবেলা,d̪u͡ɪ̯belɐ,তিনবেলা,t̪ɪnbelɐ,দুই,d̪u͡ɪ̯,Twice,,
দুচোখ,d̪ut͡ɕokʰɔ,দুজ্ঞা,d̪uggɐ,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দুচোক,d̪ucok,Two -eyed,,
দুজন,d̪ud͡ʑɔn̪ɔ,দুইজন,d̪u͡ɪ̯ɟɔn,দুইজন,d̪u͡ɪ̯ɟɔn,দুইজন,d̪u͡ɪ̯ɟɔn,দুইজন,d̪u͡ɪ̯ɟɔn,দুইযন,d̪u͡ɪ̯zɔn,Both,,
দুজনই,d̪ud͡ʑn̪i,হ্যারা,hɛɾɐ,তারা,t̪ɐɾɐ,দুইজনই,d̪u͡ɪ̯ɟɔnɪ,দোনোগা,d̪onogɐ,দুইজন,d̪u͡ɪ̯zɔn,Both,,
দুজনকে,d̪ud͡ʑɔn̪ɔke,দুইজনরে,d̪u͡ɪ̯ɟɔnɾe,দুয়োগুরে,d̪uʲoguɾe,দুইজনরে,d̪u͡ɪ̯ɟɔnɾe,দুইজনরে,d̪u͡ɪ̯ɟɔnɾe,দুজনরে,d̪uzɔnɾe,Both,,
দুজনে,d̪ud͡ʑn̪e,দুইজনে,d̪u͡ɪ̯ɟɔne,দুজনে,d̪uɟɔne,দুইজনে,d̪u͡ɪ̯ɟɔne,দুইজন,d̪u͡ɪ̯zɔn,না,nɐ,Both,,
দুজনেই,d̪ud͡ʑn̪ei,দুইজনই,d̪u͡ɪ̯ɟɔnɪ,দুয়োগু,d̪uʲogu,দুইজনেই,d̪u͡ɪ̯ɟɔne͡ɪ̯,দুইজন,d̪u͡ɪ̯ɟɔn,দুজনেই,d̪uɟɔne͡ɪ̯,Both,,
দুজনের,d̪ud͡ʑn̪erɔ,দুইজনের,d̪u͡ɪ̯ɟɔneɾ,দুজনের,d̪uɟɔneɾ,দুইজনের,d̪u͡ɪ̯ɟɔneɾ,দুইজনের,d̪u͡ɪ̯zɔneɾ,দুইজন,d̪u͡ɪ̯zɔn,Both,,
দুটি,d̪uti,দুজ্ঞা,d̪uggɐ,দুইটা,d̪u͡ɪ̯tɐ,দুইটা,ʃonɐɾ,স্বর্নের,ʃɔɾneɾ,গইরগে,go͡ɪ̯ɾge,Two,,
দুটো,d̪uto,দুইডা,d̪u͡ɪ̯dɐ,দুইটা,d̪u͡ɪ̯tɐ,দুইটা,d̪u͡ɪ̯tɐ,দুগা,d̪ugɐ,দুইয়ান,d̪u͡ɪ̯ʲɐn,Two,,
দুনিয়াতে,d̪un̪ie̯at̪e,দুনিয়ায়,d̪unɪʲɐe̯,দুনিয়াত,d̪unɪʲɐt̪,দুনিয়াতে,ɐbbɐ,দুনিয়াত,d̪unɪʲɐt̪,দুনিয়াত,d̪unɪʲɐt̪,In the world,,
দুপাড়ের,d̪upaɽerɔ,দুইধারের,d̪u͡ɪ̯d̪ʱɐɾeɾ,দুই,d̪u͡ɪ̯,দুপাড়ের,d̪upɐɽeɾ,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,Two -legged,,
দুপাশে,d̪upaɕe,দুইপাশে,d̪u͡ɪ̯pɐʃe,দুই,d̪u͡ɪ̯,দুইপাশে,d̪u͡ɪ̯pɐʃe,দুহাশে,d̪uhɐʃe,দুইপাসদ্দি,d̪u͡ɪ̯pɐʃd̪d̪ɪ,Sides,,
দুপুরে,d̪upure,দুফুরে,d̪upʰuɾe,দুপুরে,d̪upuɾe,দুফুরে,d̪upʰuɾe,খুব,kʰub,দুইজ্জা,d̪u͡ɪ̯zzɐ,At noon,,
দুপুরের,d̪upurerɔ,দুফুরের,d̪upʰuɾeɾ,মাধানে,mɐd̪ʱɐne,দুপুরের,d̪upuɾeɾ,দুফুরে,d̪upʰuɾe,দুফুরত,d̪ufuɾt̪o,Noon,,
দুরে,d̪ure,দূরে,d̪uɾe,দুরে,d̪uɾe,দুরে,d̪uɾe,দূরে,d̪uɾe,হোনমিক্কা,honmɪkkɐ,Far,,
দুর্বল,d̪urbɔl̪ɔ,দুর্বল,d̪uɾbol,দুর্বল,d̪uɾbol,দুর্বল,d̪uɾbol,দুর্বল,d̪uɾbol,দুর্বল,d̪uɾbol,Weak,,
দুর্যোগপ্রবণ,d̪urd͡zoɡɔprɔbɔnɔ,দুর্যোগপোরবণ,d̪uɾɟogpoɾbon,বাক্কা,bɐkkɐ,দুর্যোগপ্রবণ,d̪uɾɟogpɾobon,দুর্যোগ,d̪uɾɟog,দূর্যোগফ্রবন,d̪uɾɟogɔfɾobon,Disaster,,
দুশ্চিন্তার,d̪uɕt͡ɕin̪t̪ar,চিন্তার,cɪnt̪ɐɾ,চিন্তার,cɪnt̪ɐɾ,দুশ্চিন্তার,d̪uʃcɪnt̪ɐɾ,দুশচিন্তার,d̪uʃcɪnt̪ɐɾ,দুচ্চিন্তার,d̪uccɪnt̪ɐɾ,Anxious,,
দুষ্টু,d̪uʂtu,দুষ্টু,d̪uʃtu,যে,ɟe,দুষ্ট,d̪uʃto,দুইষ্ট,d̪u͡ɪ̯ʃto,যারগো,zɐɾgo,Naughty,,
দূবল,d̪ubɔl̪ɔ,দূর্বল,d̪uɾbol,দুর্বল,d̪uɾbol,দূর্বল,d̪uɾbol,আইও,ɐ͡ɪ̯o,দুর্বল,d̪uɾbol,Bolt,,
দূর,d̪urɔ,দূর,d̪uɾ,এখটা,ekʰtɐ,দূর,d̪uɾ,এগগা,ɛggɐ,ওজ্ঞা,fɐ͡ɐ̯ɾɔɾ,Out,,
দূরে,d̪ure,দূরে,d̪uɾe,দুরই,d̪uɾɪ,দূরে,d̪uɾe,দূরে,d̪uɾe,দুরে,d̪uɾe,Far,,
দূর্বল,d̪urbɔl̪ɔ,ভাইব্বা,bʱɐ͡ɪ̯bbɐ,দূর্বল,d̪uɾbol,দূর্বল,d̪uɾbol,দূর্বল,bʱɐbɪ,ভাবি,vɐbɪ,Weak,,
দৃষ্টিভঙ্গি,d̪ɽiʂtib̤ɔŋɡi,দৃষ্টিভঙ্গি,d̪ɾɪʃtɪbʱɔŋgɪ,চউখ,cɔ͡u̯x,দৃষ্টিভঙ্গি,d̪ɾɪʃtɪbʱɔŋgɪ,দৃষ্টিভঙ্গি,d̪ɾɪʃtɪbʱɔŋgɪ,চুক,cuk,Outlook,,
দেই,d̪ei,দেতেয়াছি,d̪et̪eʲɐcʰɪ,দেই,d̪e͡ɪ̯,দেই,d̪e͡ɪ̯,দেই,d̪e͡ɪ̯,দিয়ির,d̪ɪʲɪɾ,Dei,,
দেওয়া,d̪eoe̯a,দেওয়া,d̪e͡o̯ʷɐ,দেওয়া,d̪e͡o̯ʷɐ,দেওয়ন,d̪e͡o̯ʲon,দেয়ন,d̪eʲon,দেয়া,d̪eʲɐ,Give,,
দেওয়াতেই,d̪eoe̯at̪ei,দেওনেই,d̪e͡o̯ne͡ɪ̯,দেওয়াতেই,d̪e͡o̯ʲɐt̪e͡ɪ̯,দেওয়াতেই,d̪e͡o̯ʷɐt̪e͡ɪ̯,দিতেই,d̪ɪt̪e͡ɪ̯,দিতাম,d̪ɪt̪ɐm,In the way,,
