bangla_speech,regional,regional_ipa,bangla_speech_ipa
একটা বিবাহিত মহিলা রাস্তা দিয়ে হেতে যাচ্ছে, চিটাগাং এক্কান বিবাহিত মহিলা রাস্তাত দিয়েরে হাডি যার,cɪtɐgon ɛkkɐn bɪbɐhɪt̪o mohɪlɐ ɾɐst̪ɐt̪ d̪ɪʲeɾe hɐdɪ zɐɾ,ekta bibahit̪ɔ mɔhil̪a ras̪t̪a d̪ie̯e het̪e d͡zat͡ɕt͡ɕʰe
আমার আম্মু আমার পড়াশোনার খরচ দিতে চায় না, চিটাগাং আর আম্মু আর ফন্নাফরার হরছ নিত ন চায়,cɐe̯,amarɔ ammu amarɔ pɔɽaɕon̪arɔ kʰɔrɔt͡ɕɔ d̪it̪e t͡ɕae̯ɔ n̪a
আমার মা অনেক কষ্ট করে আমাদের বড় করেছেন, চিটাগাং আর মা অনেক হষ্ট গরি আরার বড় গইজ্জে,cɪtɐgon ɐɾ mɐ ɔnek hoʃto goɾɪ ɐɾɐɾ bɔɽo gɔ͡ɪ̯zze,amarɔ ma on̪ekɔ kɔʂtɔ kɔre amad̪erɔ bɔɽɔ kɔret͡ɕʰen̪
তোমার ছোট ভাই আগে নেশায় আসক্ত ছিল, চিটাগাং তোয়ার ছোড ভআই ইবা আগত নেশাত আসক্ত আসিল,cɪtɐgon t̪oʷɐɾ cʰod vɐ͡ɪ̯ ɪbɐ ɐgɔt̪o neʃɐt̪ ɐʃkt̪o ɐʃɪl,t̪omarɔ t͡ɕʰotɔ b̤ai aɡe n̪eɕae̯ɔ as̪ɔkt̪ɔ t͡ɕʰil̪
ছেলেটি সারাদিন বাহিরে বাহিরে থাকে, চিটাগাং ফোয়া ইবা ফুর দিন বারত বাইরত তাহে,cɪtɐgon foʷɐ ɪbɐ fuɾ d̪ɪn bɐɾɔt̪o bɐ͡ɪ̯ɾɔt̪o t̪ɐhe,t͡ɕʰel̪eti s̪arad̪in̪ɔ bahire bahire t̪ʰake
আমার ফুফু চাচারাও আমাকে অনেক ভালবাসে, চিটাগাং তোয়ার ফুফুর চাচা তারাও আরে বহুত ভালোবাসে দে,cɪtɐgon t̪oʷɐɾ fufuɾ cɐcɐ t̪ɐɾɐ͡o̯ ɐɾe bohut̪ vɐlobɐʃe d̪e,amarɔ ɸuɸu t͡ɕat͡ɕarao amake on̪ekɔ b̤al̪bas̪e
আমার আম্মু আগের তুলনায় এখন অনেক ভালো আছেন, চিটাগাং আর আম্মু আগর তুলনায় এহন বহুত ভালো আসে দে,cɪtɐgon ɐɾ ɐmmu ɐgoɾ t̪ulnɐe̯ ehon bohut̪ vɐlo ɐʃe d̪e,amarɔ ammu aɡerɔ t̪ul̪n̪ae̯ɔ ekʰɔn̪ɔ on̪ekɔ b̤al̪o at͡ɕʰen̪
আমি আর আমার ছোট বোন আজকে খালামুনির বাসায় ঘুরতে যাবো, চিটাগাং আই আর আর ছোড বইন ইবা আজিয়া হালামনির বাসাত ঘুইরত জাইব দে,cɪtɐgon ɐ͡ɪ̯ ɐɾ ɐɾ cʰod bo͡ɪ̯n ɪbɐ ɐzɪʲɐ hɐlɐmonɪɾ bɐʃɐt̪ gʱu͡ɪ̯ɾɔt̪o zɐ͡ɪ̯bo d̪e,ami arɔ amarɔ t͡ɕʰotɔ bon̪ɔ ad͡ʑke kʰal̪amun̪irɔ bas̪ae̯ɔ ̤ɡ̤urt̪e d͡zabo
আমার বড় বোন এতো সকালে ঘুম থেকে উঠতে পারে না, চিটাগাং আর ডর বইন ইবা এতো সকালত ঘুমত্তুন উডিন্ন ফারে,cɪtɐgon ɐɾ dɔɾ bo͡ɪ̯n ɪbɐ et̪o ʃɔkɐlɔt̪o gʱumɔt̪t̪un udɪnno fɐɾe,amarɔ bɔɽɔ bon̪ɔ et̪o s̪ɔkal̪e ̤ɡ̤umɔ t̪ʰeke utʰt̪e pare n̪a
আমার বড় বোন প্রচন্ড অলস একটা কাজ সময়মতো করতে পারে না, চিটাগাং আর ডর বইন ইবা ফ্রচন্ড আলস এক্কান হাম সময়মতন গরিত ন ফারে,cɪtɐgon ɐɾ dɔɾ bo͡ɪ̯n ɪbɐ fɾocɔnd ɐls ɛkkɐn hɐm ʃɔmɔʲmɔt̪ɔn goɾɪt̪o nɔ fɐɾe,amarɔ bɔɽɔ bon̪ɔ prɔt͡ɕɔn̪dɔ ol̪ɔs̪ɔ ekta kad͡ʑɔ s̪ɔme̯ɔmɔt̪o kɔrɔt̪e pare n̪a
আপনার সাথে আমার একটা জরুরি কথা আছে, চিটাগাং অনর হাসে আরার এক্কান জরুরি হতা আসে,cɪtɐgon ɔnɔɾ hɐʃe ɐɾɐɾ ɛkkɐn zoɾuɾɪ hɔt̪ɐ ɐʃe,apn̪arɔ s̪at̪ʰe amarɔ ekta d͡ʑɔruri kɔt̪ʰa at͡ɕʰe
সকালে তাড়াতাড়ি উঠে বাহিরে একটু হেঁটে আসা খুব উপকারী, চিটাগাং সকালত হারাহারি উঠে বাহিরত এক্কান হাটি আইয়ন খুব উফকারি,cɪtɐgon ʃɔkɐlɔt̪o hɐɾɐhɐɾɪ utʰe bɐhɪɾɔt̪o ɛkkɐn hɐtɪ ɐ͡ɪ̯ʲon xub ufkɐɾɪ,s̪ɔkal̪e t̪aɽat̪aɽi utʰe bahire ektu heঁte as̪a kʰubɔ upkari
তুমি কি আমটি খেয়েছিলে ?, চিটাগাং তুইকি নাম্মান হাইয়না?,cɪtɐgon t̪u͡ɪ̯kɪ nɐmmɐn hɐ͡ɪ̯ʲnɐ?,t̪umi ki amti kʰee̯et͡ɕʰil̪e ?
বাগানের মধ্যে গিয়ে আমার ছোট ভাই দৌড়াল, চিটাগাং বাগানর মধ্যত আর ছোড ভাই ইবা দৈর,cʰɪtɐgon bɐgɐnoɾ mod̪d̪ʱot̪o ɐɾ cʰod vɐ͡ɪ̯ ɪbɐ d̪o͡ɪ̯ɾ,baɡan̪erɔ mɔd̪̤d͡ze ɡie̯e amarɔ t͡ɕʰotɔ b̤ai d̪owɽal̪
আপনি ফুটবল খেলায় হেরে গেলেন, চিটাগাং অনে ফুটবল হেলা হারি গেইলেন,cɪtɐgon ɔne futbɔl helɐ hɐɾɪ ge͡ɪ̯len,apn̪i ɸutɔbɔl̪ɔ kʰel̪ae̯ɔ here ɡel̪en̪
তুই এখান থেকে যা, চিটাগাং তুই এদে তাহি যো,cɪtɐgon t̪u͡ɪ̯ ed̪e t̪ɐhɪ ɟo,t̪ui ekʰan̪ɔ t̪ʰeke d͡za
আপনি আমাকে দয়া করে বিশ্বাস করেন, চিটাগাং অনে আরেে দয়া গরি বিশ্বাস গরন,cɪtɐgon ɔne ɐɾee d̪ɔʲɐ goɾɪ bɪʃʃɐʃ gɔɾon,apn̪i amake d̪e̯a kɔre biɕbas̪ɔ kɔren̪
ছোট শিশুটি অসুস্থ হয়ে পরেছে, চিটাগাং ছোড শিশু ইবা অসুস্ত অই ফইজ্জে,cɪtɐgon cʰod ʃɪʃu ɪbɐ ɔʃust̪o ɔ͡ɪ̯ fɔ͡ɪ̯zze,t͡ɕʰotɔ ɕiɕuti os̪us̪t̪ʰɔ he̯e pɔret͡ɕʰe
তুমি কি আমার জন্য অপেক্ষা করতে পারবে ?, চিটাগাং তুই কি আরলাই অফেক্ষা গরিত্তারি বানা?,cɪtɐgon t̪u͡ɪ̯ kɪ ɐɾlɐ͡ɪ̯ ɔfekxɐ goɾɪt̪t̪ɐɾɪ bɐnɐ?,t̪umi ki amarɔ d͡ʑɔn̪d͡zɔ opekʂa kɔrɔt̪e parbe ?
তুমি আমার কাছে ক্ষমা চাও, চিটাগাং তুই আর হাসত ক্ষমা চো,cɪtɐgon t̪u͡ɪ̯ ɐɾ hɐʃɔt̪o kʰɔmɐ co,t̪umi amarɔ kat͡ɕʰe kʂɔma t͡ɕao
আমি বিকালে একটু ঘুমিয়ে নিলাম, চিটাগাং আই বিহালত এক্কেনা ঘুমাই গেইলাম,cɪtɐgon ɐ͡ɪ̯ bɪhɐlɔt̪o ɛkkenɐ gʱumɐ͡ɪ̯ ge͡ɪ̯lɐm,ami bikal̪e ektu ̤ɡ̤umie̯e n̪il̪am
আমার আব্বু বড় ভাইয়ের উপর রেগে গেছিলেন, চিটাগাং আর আব্বু ডর ভাই ইবার উফরত রাগি গেইয়ে,cɪtɐgon ɐɾ ɐbbu dɔɾ vɐ͡ɪ̯ ɪbɐɾ ufɔɾɔt̪ ɾɐgɪ ge͡ɪ̯ʲe,amarɔ abbu bɔɽɔ b̤aie̯erɔ upɔrɔ reɡe ɡet͡ɕʰil̪en̪
তোমার কথা শুনে আমি খুব অবাক হয়ে গেছিলাম, চিটাগাং তোয়ার হোতা ফুনিয়েরে আই খুব অবাক অই গিয়ি,cɪtɐgon t̪oʷɐɾ hot̪ɐ funɪʲeɾe ɐ͡ɪ̯ xub ɔbɐk ɔ͡ɪ̯ gɪʲɪ,t̪omarɔ kɔt̪ʰa ɕun̪e ami kʰubɔ obakɔ he̯e ɡet͡ɕʰil̪am
তোমার কি মাথা ব্যাথা করছে ?, চিটাগাং তোয়ার মাথা ব্যাথা গইজ্জ?,cɪtɐgon t̪oʷɐɾ mɐt̪ʰɐ bɛt̪ʰɐ gɔ͡ɪ̯zzo?,t̪omarɔ ki mat̪ʰa bd͡zat̪ʰa kɔrɔt͡ɕʰe ?
আমার হাত খরচের টাকা আমার আব্বু দেয়, চিটাগাং আর আত হরচর টেয়া আর আব্বু দেয়,cɪtɐgon ɐɾ ɐt̪o hɔɾcoɾ teʲɐ ɐɾ ɐbbu d̪ee̯,amarɔ hat̪ɔ kʰɔrɔt͡ɕerɔ taka amarɔ abbu d̪ee̯
আমার বোন ইদানীং অনেক খারাপ আচরন করে, চিটাগাং আর বইন ইদানিং বহুত হারাফ আচরন গরে,cɪtɐgon ɐɾ bo͡ɪ̯n ɪd̪ɐnɪŋ bohut̪ hɐɾɐf ɐcɾɔn goɾe,amarɔ bon̪ɔ id̪an̪iŋ on̪ekɔ kʰarapɔ at͡ɕɔrɔn̪ɔ kɔre
আমি যেই ছেলেকে পছন্দ করি সে আমার পরিবারের কাউকে সম্মান করেনা, চিটাগাং আই যেই ফোয়ারে ফসন্দ গরি সে আর ফরিবারর অনিক্কারে সম্মান ন গরে,chɪtɐgon ɐ͡ɪ̯ ze͡ɪ̯ foʷɐɾe fɔʃond̪o goɾɪ ʃe ɐɾ foɾɪbɐɾoɾ ɔnɪkkɐɾe ʃɔmmɐn nɔ goɾe,ami d͡zei t͡ɕʰel̪eke pɔt͡ɕʰɔn̪d̪ɔ kɔri s̪e amarɔ pɔribarerɔ kauke s̪ɔmman̪ɔ kɔren̪a
মেয়েটি তাকে বিয়ে করবে না বলে দিয়েছে , চিটাগাং মাইয়াফোয়া তারে বিয়া ন গরিব হই দিয়ি,cɪtɐgon mɐ͡ɪ̯ʲɐfoʷɐ t̪ɐɾe bɪʲɐ nɔ goɾɪb ho͡ɪ̯ d̪ɪʲɪ,mee̯eti t̪ake bie̯e kɔrɔbe n̪a bɔl̪e d̪ie̯et͡ɕʰe 
বাড়ি থেকে বিয়ের জন্য আমার জন্য মেয়ে দেখা শুরু করলো, চিটাগাং বাড়িত্তুন বিয়ার লাই আর লাই মাইয়াফোয়া দেহা শুরু গইজ্জে,cɪtɐgon bɐɽɪt̪t̪un bɪʲɐɾ lɐ͡ɪ̯ ɐɾ lɐ͡ɪ̯ mɐ͡ɪ̯ʲɐfoʷɐ d̪ehɐ ʃuɾu gɔ͡ɪ̯zze,baɽi t̪ʰeke bie̯erɔ d͡ʑɔn̪d͡zɔ amarɔ d͡ʑɔn̪d͡zɔ mee̯e d̪ekʰa ɕuru kɔrɔl̪o
আমার বিয়ে তোমার ছোট বোনের সাথে ঠিক হয়েছে, চিটাগাং আর বিয়াাত তোয়ার ছোড বইনর ফোয়ারিত ঠিক অইয়ে,cɪtɐgon ɐɾ bɪʲɐt̪ t̪oʷɐɾ cʰod bo͡ɪ̯nɔɾ foʷɐɾɪt̪ɔ tʰɪk ɔ͡ɪ̯ʲe,amarɔ bie̯e t̪omarɔ t͡ɕʰotɔ bon̪erɔ s̪at̪ʰe tʰikɔ he̯et͡ɕʰe
বাবা আমাদের সমস্ত সম্পত্তি বিক্রি করে আমাদের নিয়ে গ্রামের বাড়িতে চলে আসছে, চিটাগাং বাবা আরার সমস্ত সম্পত্তি বেচিয়েরে গ্রামর বাড়িত চলি আইসসে,cɪtɐgon bɐbɐ ɐɾɐɾ ʃɔmost̪o ʃɔmpot̪t̪ɪ becɪʲeɾe gɾɐmɔɾ bɐɽɪt̪o colɪ ɐ͡ɪ̯sʃe,baba amad̪erɔ s̪ɔmɔs̪t̪ɔ s̪ɔmpɔt̪t̪i bikri kɔre amad̪erɔ n̪ie̯e ɡɔramerɔ baɽit̪e t͡ɕɔl̪e as̪t͡ɕʰe
আমি সবাইকে বুঝিয়ে বুঝিয়ে ক্লান্ত যে আমার আম্মু এরকম কিছু করে নাই, চিটাগাং আই বেয়াক্কুনর বুঝাইয়েরে ক্লান্ত যে আর আম্মু এইল্লে কিছু গরি নাই,cɪtɐgon ɐ͡ɪ̯ beʲɐkkunɔɾ buzʱɐ͡ɪ̯ʲeɾe klɐnt̪o ze ɐɾ ɐmmu e͡ɪ̯lle kɪcʰu goɾɪ nɐ͡ɪ̯,ami s̪ɔbaike bud͡ʑ̤ie̯e bud͡ʑ̤ie̯e kl̪an̪t̪ɔ d͡ze amarɔ ammu erɔkɔmɔ kit͡ɕʰu kɔre n̪ai
তাদের পারিবারিক ভাবেই বিয়ে হয়েছে, চিটাগাং তারাার ফারিবারিক ভাবেই বিয়া অইয়ে,cɪtɐgon t̪ɐɾɐɾ fɐɾɪbɐɾɪk vɐbe͡ɪ̯ bɪʲɐ ɔ͡ɪ̯ʲe,t̪ad̪erɔ paribarikɔ b̤abei bie̯e he̯et͡ɕʰe
তাদের প্রেম করে বিয়ে হয়েছিল, চিটাগাং তারার ফ্রেম গরিয়েরে বিয়া অইয়ে,cɪtɐgon t̪ɐɾɐɾ fɾem goɾɪʲeɾe bɪʲɐ ɔ͡ɪ̯ʲe,t̪ad̪erɔ premɔ kɔre bie̯e he̯et͡ɕʰil̪
আমার শাশুড়ি অনেক ভালো রান্না করে, চিটাগাং আর শাশুড়ি বহুত ভালো ফাক গইজ্জে,cɪtɐgon ɐɾ ʃɐʃuɽɪ bohut̪ vɐlo fɐk gɔ͡ɪ̯zze,amarɔ ɕaɕuɽi on̪ekɔ b̤al̪o ran̪n̪a kɔre
বাবা অশিক্ষিত একটা ছেলের সাথে আমার বিয়ে দিতে চেয়েছিল, চিটাগাং বাবা অশিক্ষিত এক্কান ফোয়ার ফোয়ারিত আর বিয়া দিতে চাইল,cɪtɐgon bɐbɐ oʃɪkxɪt̪o ɛkkɐn foʷɐɾ foʷɐɾɪt̪ɔ ɐɾ bɪʲɐ d̪ɪt̪e cɐ͡ɪ̯l,baba oɕikʂit̪ɔ ekta t͡ɕʰel̪erɔ s̪at̪ʰe amarɔ bie̯e d̪it̪e t͡ɕee̯et͡ɕʰil̪
আব্বু মান সন্মানের ভয়ে মামলা করেননি, চিটাগাং আব্বু মান সম্মানর ভয়ে মামলা ন গরে,cɪtɐgon ɐbbu mɐn ʃɔmmɐnoɾ voʲe mɐmlɐ nɔ goɾe,abbu man̪ɔ s̪ɔn̪man̪erɔ b̤e̯e maml̪a kɔren̪n̪i
ছেলেটি চাচার ভয়ে তার বাবাকে সত্যি কথা বলতে পারেনি, চিটাগাং ফোয়াইবার চাচার ভয়োত তার বাবারত সত্যি হতা হইন্নোফারে,cɪtɐgon foʷɐ͡ɪ̯bɐɾ cɐcɐɾ vɔʲot̪ t̪ɐɾ bɐbɐɾɔt̪o ʃot̪t̪ɪ hɔt̪ɐ ho͡ɪ̯nnofɐɾe,t͡ɕʰel̪eti t͡ɕat͡ɕarɔ b̤e̯e t̪arɔ babake s̪ɔt̪d͡zi kɔt̪ʰa bɔl̪ɔt̪e paren̪i
আমি তখন খুব ছোট যখন আমার মা মারা গিয়েছিল, চিটাগাং আই তহন খুব ছোডযহন আর মা মারা গিয়ি,cɪtɐgon ɐ͡ɪ̯ t̪ɔhon kʰub cʰodoɟɔhon ɐɾ mɐ mɐɾɐ gɪʲɪ,ami t̪ɔkʰɔn̪ɔ kʰubɔ t͡ɕʰotɔ d͡zɔkʰɔn̪ɔ amarɔ ma mara ɡie̯et͡ɕʰil̪
গ্রামের থেকে আসা ছেলেটি এখন ঢাকায় পড়াশুনা করছে, চিটাগাং গ্রারামত্তুন আইয়োন ফোয়া ইবা এহন ঢাহাত ফন্না ফরের,cɪtɐgon gɾɐɾɐmɔt̪t̪un ɐ͡ɪ̯ʲon foʷɐ ɪbɐ ehon dʱɐhɐt̪ fɔnnɐ fɔɾeɾ,ɡɔramerɔ t̪ʰeke as̪a t͡ɕʰel̪eti ekʰɔn̪ɔ d̤akae̯ɔ pɔɽaɕun̪a kɔrɔt͡ɕʰe
আমার সাথে তার পরিচয় হয়েছে স্কুলে গিয়ে, চিটাগাং আর ফোয়ারিত তার ফরিচয় অইয়ে স্কুলত গিয়ি,cɔe̯ ɔ͡ɪ̯ʲe skulɔt̪o gɪʲɪ,amarɔ s̪at̪ʰe t̪arɔ pɔrit͡ɕe̯ɔ he̯et͡ɕʰe s̪kul̪e ɡie̯e
আমাকে দয়া করে পরামর্শ দিন আমি এখন কি করতে পারি, চিটাগাং আরে দয়া গরি ফরামরশ দন আই এহন কি গরিত্তারি,cɪtɐgon ɐɾe d̪ɔʲɐ goɾɪ fɔɾɐmɾɔʃ d̪ɔn ɐ͡ɪ̯ ehon kɪ goɾɪt̪t̪ɐɾɪ,amake d̪e̯a kɔre pɔramɔrɕɔ d̪in̪ɔ ami ekʰɔn̪ɔ ki kɔrɔt̪e pari
আমার বাহিরে ঘুরতে যাওয়ার কোন ইচ্ছা ছিল না, চিটাগাং আর বাইরত ঘুইরতাম যাইবার হোন ইচ্ছা ন আসিল,cɪtɐgon ɐɾ bɐ͡ɪ̯ɾɔt̪o gʱu͡ɪ̯ɾot̪ɐm zɐ͡ɪ̯bɐɾ hon ɪccʰɐ nɔ ɐʃɪl,amarɔ bahire ̤ɡ̤urt̪e d͡zaoe̯arɔ kon̪ɔ it͡ɕt͡ɕʰa t͡ɕʰil̪ɔ n̪a
ছেলেটা সিগারেট পর্যন্ত খায় না, চিটাগাং ফোয়া ইবা সিগারেট ফসন্দ ন হায়,cɪtɐgon foʷɐ ɪbɐ ʃɪgɐɾet fɔʃond̪o nɔ hɐe̯,t͡ɕʰel̪eta s̪iɡaretɔ pɔrd͡zɔn̪t̪ɔ kʰae̯ɔ n̪a
প্রথমদিকে আপনাকে আমি এত ভালোবাসতাম না, চিটাগাং ফ্রতম মিক্কে অনেরে আই এত ভালোনোবাসিতাম ,cʰɪtɐgon pʰɾot̪ɔmo mɪkke oneɾe ɐ͡ɪ̯ ɛt̪o bʱɐlonobɐʃɪt̪ɐm ,prɔt̪ʰɔmɔd̪ike apn̪ake ami et̪ɔ b̤al̪obas̪t̪amɔ n̪a
ছেলেটি সপ্তাহখানেক আগে আমাদের সাথে দেখা করেছে, চিটাগাং ফোয়া ইবা সপ্তাত আগদ্দি আরার ফয়ারিত দেহা গইজ্জে,cɪtɐgon foʷɐ ɪbɐ ʃɔpt̪ɐt̪ ɐgod̪d̪ɪ ɐɾɐɾ fɔʲɐɾɪt̪ɔ d̪ehɐ gɔ͡ɪ̯zze,t͡ɕʰel̪eti s̪ɔpt̪ahɔkʰan̪ekɔ aɡe amad̪erɔ s̪at̪ʰe d̪ekʰa kɔret͡ɕʰe
ওই মেয়েকে যেভাবেই হোক খুঁজে বের করতে হবে, চিটাগাং অই মাইয়াফোয়া যেনেইওক খুজি বাইর গরন ফরিব,cɪtɐgon ɔ͡ɪ̯ mɐ͡ɪ̯ʲɐfoʷɐ zene͡ɪ̯ok xuzɪ bɐ͡ɪ̯ɾ gɔɾon foɾɪb,oi mee̯eke d͡zeb̤abei hokɔ kʰuঁd͡ʑe berɔ kɔrɔt̪e hɔbe
ছেলেটির ঘটনা শুনে আমরা তাকে সাহায্য করি, চিটাগাং ফোয়াইবার ঘটনা ফুনি আরা তারে সাহায্য গইজ্জি ,cɪtɐgon foʷɐ͡ɪ̯bɐɾ gʱɔtonɐ funɪ ɐɾɐ t̪ɐɾe ʃɐhɐzzo gɔ͡ɪ̯zzɪ ,t͡ɕʰel̪etirɔ ̤ɡ̤ɔtɔn̪a ɕun̪e amra t̪ake s̪ahad͡zd͡zɔ kɔri
ছেলেটি তার পরিবারসহ ঈদের আগের দিন আমাদের সাথে দেখা করতে আসে, চিটাগাং ফোয়াইবা তার ফরিবারসহ ঈদুর আগরদিন আরার ফোয়ারিত দেহা গইরতে আইসসে,cɪtɐgon foʷɐ͡ɪ̯bɐ t̪ɐɾ foɾɪbɐɾʃɔho ɪd̪uɾ ɐgoɾod̪ɪn ɐɾɐɾ foʷɐɾɪt̪ɔ d̪ehɐ gɪɾt̪e ɐ͡ɪ̯s,t͡ɕʰel̪eti t̪arɔ pɔribarɔs̪ɔhɔ id̪erɔ aɡerɔ d̪in̪ɔ amad̪erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e as̪e
মেয়েটি বাংলাদেশে এসে তার পছন্দের ছেলের সাথে বিয়ে ঠিক করেছে, চিটাগাং মাইয়াফোয়া ইবা বাংলাদেশত আইয়েরে তার ফসন্দর ফোয়ারিত বিয়া ঠিক গইজ্জি,cɪtɐgon mɐ͡ɪ̯ʲɐfoʷɐ ɪbɐ bɐŋlɐd̪eʃt̪ɔ ɐ͡ɪ̯ʲeɾe t̪ɐɾ fɔʃond̪ɔɾ foʷɐɾɪt̪ɔ bɪʲɐ tʰɪk g,mee̯eti baŋl̪ad̪eɕe es̪e t̪arɔ pɔt͡ɕʰɔn̪d̪erɔ t͡ɕʰel̪erɔ s̪at̪ʰe bie̯e tʰikɔ kɔret͡ɕʰe
আমাদের এলাকায় কেরোসিন তেলের দাম বেড়ে গেছে, চিটাগাং আরার এলাকাত কেরাসিনর দাম বারি গিয়ি,cɪtɐgon ɐɾɐɾ elɐkɐt̪ keɾɐʃɪnɔɾ d̪ɐm bɐɾɪ gɪʲɪ,amad̪erɔ el̪akae̯ɔ keros̪in̪ɔ t̪el̪erɔ d̪amɔ beɽe ɡet͡ɕʰe
আমার প্রতিদিন পেয়ারা খেতে খুব ভালো লাগে, চিটাগাং আর ফ্রতিদিন ফেয়ারা হাইতে বহুত গম লাগে দে,cɪtɐgon ɐɾ fɾot̪ɪd̪ɪn feʲɐɾɐ hɐ͡ɪ̯t̪e bohut̪ gɔm lɐge d̪e,amarɔ prɔt̪id̪in̪ɔ pee̯ara kʰet̪e kʰubɔ b̤al̪o l̪aɡe
পেয়ারা আমার প্রিয় ফল, চিটাগাং ফেয়ারা আর ফ্রিও ফল,cɪtɐgon feʲɐɾɐ ɐɾ fɾɪ͡o̯ fɔl,pee̯ara amarɔ prie̯ɔ ɸɔl̪ɔ
আমার আব্বু প্রতিদিন নারিকেল পানি পান করে, চিটাগাং আর আব্বু ফ্রতিদিন নাইরকেলর ফানি হা দে,cɪtɐgon ɐɾ ɐbbu fɾot̪ɪd̪ɪn nɐ͡ɪ̯ɾkelɔɾ fɐnɪ hɐ d̪e,amarɔ abbu prɔt̪id̪in̪ɔ n̪arikel̪ɔ pan̪i pan̪ɔ kɔre
আমার দাদার বাড়ীর পিছনে একটি পেয়ারা গাছ আছে, চিটাগাং আর দাদার বারির ফিসনদ্দি এক্কা ফেয়ারা হাছ আসে দে,cɪtɐgon ɐɾ d̪ɐd̪ɐɾ bɐɾɪɾ fɪʃɔnd̪d̪ɪ ɛkkɐ feʲɐɾɐ hɐcʰ ɐʃe d̪e,amarɔ d̪ad̪arɔ baɽirɔ pit͡ɕʰn̪e ekti pee̯ara ɡat͡ɕʰɔ at͡ɕʰe
আম্মু রান্নাঘরে বসে মোরগের মাংস রান্না করছে, চিটাগাং আম্মু ফাকঘরত বইয়েরে কুরর মাংস ফাকের,cɪtɐgon ɐmmu fɐkgʱɔɾt̪o bo͡ɪ̯ʲeɾe kuɾoɾ mɐŋʃo fɐkeɾ,ammu ran̪n̪a̤ɡ̤ɔre bɔs̪e morɡerɔ maŋs̪ɔ ran̪n̪a kɔrɔt͡ɕʰe
গ্রামের মানুষরা মাটির পাতিলে রান্না করে, চিটাগাং গ্রামর মানুষ তারা মাটির ফাতিলত ফাকে,cɪtɐgon gɾɐmɔɾ mɐnuʃ t̪ɐɾɐ mɐtɪɾ fɐt̪ɪlɔt̪o fɐke,ɡɔramerɔ man̪uʂra matirɔ pat̪il̪e ran̪n̪a kɔre
আমার ছোট ভাই শিমের তরকারী দিয়ে ভাত খেতে খুব ভালবাসে, চিটাগাং আর ছোড ভাই ইবা শিমর তরহারি দিয়েরে ভাত হাইতে খুব গম লাগেদে,cɪtɐgon ɐɾ cʰod vɐ͡ɪ̯ ɪbɐ ʃɪmoɾ t̪ɔɾohɐɾɪ d̪ɪʲeɾe vɐt̪ hɐ͡ɪ̯t̪e xub gɔm lɐged̪e,amarɔ t͡ɕʰotɔ b̤ai ɕimerɔ t̪ɔrɔkari d̪ie̯e b̤at̪ɔ kʰet̪e kʰubɔ b̤al̪bas̪e
এই শিশুটি পাকা পেঁপে খাচ্ছে, চিটাগাং এই শিশু ইবা ফানা ফেফে হার,cɪtɐgon e͡ɪ̯ ʃɪʃu ɪbɐ fɐnɐ fefe hɐɾ,ei ɕiɕuti paka peঁpe kʰat͡ɕt͡ɕʰe
আব্বু গ্রাম থেকে আসার সময় অনেক বড় বড় জাম্বুরা কিনে এনেছে, চিটাগাং আব্বুর গ্রামত্তুন আইবার সমত বহুত ডর ডর জাম্বুরো কিনি আইন্নে,cɪtɐgon ɐbbuɾ gɾɐmɔt̪t̪un ɐ͡ɪ̯bɐɾ ʃɔmɔt̪ bohut̪ dɔɾ dɔɾ zɐmbuɾo kɪnɪ ɐ͡ɪ̯nne,abbu ɡɔramɔ t̪ʰeke as̪arɔ s̪ɔme̯ɔ on̪ekɔ bɔɽɔ bɔɽɔ d͡ʑambura kin̪e en̪et͡ɕʰe
আমার আম্মু জামরুল খাচ্ছে, চিটাগাং আর আম্মু জামরুল হাদ্দে,cɪtɐgon ɐɾ ɐmmu ɟɐmɾul hɐd̪d̪e,amarɔ ammu d͡ʑamrul̪ɔ kʰat͡ɕt͡ɕʰe
আমার ছোট ভাই বিকালে ছাদে উঠে পাশের বাসার ছাদের কবুতর দেখে, চিটাগাং আর ছোড ভাই বিকালত বহুত গুরর সা আসে দে,cɪtɐgon ɐɾ cʰod vɐ͡ɪ̯ bɪkɐlɔt̪o bohut̪ guɾɔɾ ʃɐ ɐʃe d̪e,amarɔ t͡ɕʰotɔ b̤ai bikal̪e t͡ɕʰad̪e utʰe paɕerɔ bas̪arɔ t͡ɕʰad̪erɔ kɔbut̪ɔrɔ d̪ekʰe
আমাদের গ্রামের বাড়িতে অনেক গুলা মুরগির বাচ্চা আছে, চিটাগাং আরার গ্রামর বারির বহুত কুরর সা আসে দে,cɪtɐgon ɐɾɐɾ gɾɐmɔɾ bɐɾɪɾ bohut̪ kuɾoɾ ʃɐ ɐʃe d̪e,amad̪erɔ ɡɔramerɔ baɽit̪e on̪ekɔ ɡul̪a murɡirɔ bat͡ɕt͡ɕa at͡ɕʰe
