bangla_speech,regional,regional_ipa,bangla_speech_ipa
তোমাকে পড়ালেখা করতে হবে,নোয়াখালী তোরে অনেক হরালেয়া কইত্তে অইবো ,nokʰɐlɪ t̪oɾe ɔnek hɔɾɐleʲɐ ko͡ɪ̯t̪t̪e ɔ͡ɪ̯bo ,t̪omake pɔɽal̪ekʰa kɔrɔt̪e hɔbe
তোমার পড়ালেখা করতে ভাল লাগে না?,নোয়াখালী তোর হরালেয়া কইত্তে ভালা লাগে না?,nokohɪ t̪oɾ hɔɾɐleʲɐ ko͡ɪ̯t̪t̪e bʱɐlɐ lɐge nɐ?,t̪omarɔ pɔɽal̪ekʰa kɔrɔt̪e b̤al̪ɔ l̪aɡe n̪a?
আমাকে পড়ালেখা করতে হবে,নোয়াখালী আর হরালেয়া কইত্তে অইবো,nokʰɐlɪ ɐɾ hɔɾɐleʲɐ ko͡ɪ̯t̪t̪e ɔ͡ɪ̯bo,amake pɔɽal̪ekʰa kɔrɔt̪e hɔbe
সে অনেক ভালো রান্না করে,নোয়াখালী হেতে/ হেতি অনেক ভালো রান্দে ,oɐkolɪ het̪e/ het̪ɪ ɔnek bʱɐlo ɾɐnd̪e ,s̪e on̪ekɔ b̤al̪o ran̪n̪a kɔre
আমি একটি বিদ্যালয় পড়ালেখা করি ,নোয়াখালী আই এককান স্কুলে হড়ালেয়া করি ,noɟɐlɪ ɐ͡ɪ̯ ɛkkɐn skule hɔɽɐleʲɐ koɾɪ ,ami ekti bid̪d͡zal̪e̯ɔ pɔɽal̪ekʰa kɔri 
আমার ছোট বোন একটি বিদ্যালয়ে পড়ে,নোয়াখালী আর ছোড বইন এককান স্কুলে হড় ,noɐkɔlɪ ɐɾ cʰod bo͡ɪ̯n ɛkkɐn skule hɔɽ ,amarɔ t͡ɕʰotɔ bon̪ɔ ekti bid̪d͡zal̪e̯e pɔɽe
আমার ছোট ভাই একটি বিদ্যালয়ে পড়ালেখা করে,নোয়াখালী আর ছোড ভাই এককান স্কুলে হড়ালেয়া করে,noɐkɔlɪ ɐɾ cʰod bʱɐ͡ɪ̯ ɛkkɐn skule hɔɽɐleʲɐ koɾe,amarɔ t͡ɕʰotɔ b̤ai ekti bid̪d͡zal̪e̯e pɔɽal̪ekʰa kɔre
আমার বিদ্যালয়ে যেতে ভাল লাগে না,নোয়াখালী আর স্কুলে যাইতো ভালা লাগে না ,noɐkɔlɪ ɐɾ skule ɟɐ͡ɪ̯t̪o bʱɐlɐ lɐge nɐ ,amarɔ bid̪d͡zal̪e̯e d͡zet̪e b̤al̪ɔ l̪aɡe n̪a
আমার বিয়ের বয়স পার হয়ে যাচ্ছে,নোয়াখালী আর বিয়ার বয়স হার অই যার ,nokʰɐlɪ ɐɾ bɪʲɐɾ bɔʲoʃ hɐɾ ɔ͡ɪ̯ ɟɐɾ ,amarɔ bie̯erɔ be̯ɔs̪ɔ parɔ he̯e d͡zat͡ɕt͡ɕʰe
আহারে তোমার মনে কতো দুঃখ,নোয়াখালী আহাইরে তোওর মনে কত বেদনা,nokohɐlɪ ɐhɐ͡ɪ̯ɾe t̪o͡o̯ɾ mone kɔt̪o bed̪onɐ,ahare t̪omarɔ mɔn̪e kɔt̪o d̪uঃkʰɔ
আমি ঘুমাতে যাবো,নোয়াখালী আই ঘুমাইতাম যাইয়ুম,nokolɪ ɐ͡ɪ̯ gʱumɐ͡ɪ̯t̪ɐm ɟɐ͡ɪ̯ʲum,ami ̤ɡ̤umat̪e d͡zabo
আমি নাচতে পারি,নোয়াখালী আই নাইচতাম হারি,noɟɔlɪ ɐ͡ɪ̯ nɐ͡ɪ̯ct̪ɐm hɐɾɪ,ami n̪at͡ɕt̪e pari
আমি সাঁতার কাটতে পছন্দ করি ,নোয়াখালী আই হাফুরকাইটতাম হছন্দ করি ,nokohɐlɪ ɐ͡ɪ̯ hɐpʰuɾkɐ͡ɪ̯tt̪ɐm hɔcʰond̪o koɾɪ ,ami s̪ɔ̃t̪arɔ katt̪e pɔt͡ɕʰɔn̪d̪ɔ kɔri 
আমি তোমার বাসায় ঘুরতে আসবো,নোয়াখালী আই তোওর বাসাত ঘুইরতাম আমু, noɐkɔlɪ ɐ͡ɪ̯ t̪o͡o̯ɾ bɐʃɐt̪ gʱu͡ɪ̯ɾot̪ɐm ɐmu,ami t̪omarɔ bas̪ae̯ɔ ̤ɡ̤urt̪e as̪bo
সে তার গ্রামের বাড়িতে ঘুরতে গিয়েছে,নোয়াখালী হেতে হেতার গেরামের বাইত ঘুইরতো গেছে,nokʰɐlɪ het̪e het̪ɐɾ geɾɐmeɾ bɐ͡ɪ̯t̪o gʱu͡ɪ̯ɾot̪o gecʰe,s̪e t̪arɔ ɡɔramerɔ baɽit̪e ̤ɡ̤urt̪e ɡie̯et͡ɕʰe
আমার বন্ধু মানসিক ভাবে দুর্বল,নোয়াখালী আর বন্দু মানষিকভাবে দুর্বল,noɟɔlɪ ɐɾ bond̪u mɐnoʃɪkbʱɐbe d̪uɾbol,amarɔ bɔn̪d̪̤u man̪s̪ikɔ b̤abe d̪urbɔl̪ɔ
এমন অবস্থায় তার কি করা উচিত ?,নোয়াখালী এইক্কান অবস্তাত হেতার কি করন উচিত,noɐkɐlɪ e͡ɪ̯kkɐn ɔbost̪ɐt̪ het̪ɐɾ kɪ kɔɾon ucɪt̪,emɔn̪ɔ obɔs̪t̪ʰae̯ɔ t̪arɔ ki kɔra ut͡ɕit̪ɔ ?
আমার দুইটি বাবু আছে,নোয়াখালী আর দুইআন লেদা বাইচ্চা আছে,noɟɐlɪ ɐɾ d̪u͡ɪ̯ɐn led̪ɐ bɐ͡ɪ̯ccɐ ɐcʰe,amarɔ d̪uiti babu at͡ɕʰe
আমার স্বামীকে আমি খুব ভালোবাসি,নোয়াখালী আর জামাইরে আই অনেক ভালোবাসি,noɟɔlɪ ɐɾ ɟɐmɐ͡ɪ̯ɾe ɐ͡ɪ̯ ɔnek bʱɐlobɐʃɪ,amarɔ s̪bamike ami kʰubɔ b̤al̪obas̪i
অনেক দিন পর আপনার সাথে দেখা,নোয়াখালী মেলাদিন হর আন্নের লগে দেয়া,nokʰɐlɪ mɛlɐd̪ɪn hɔɾ ɐnneɾ lɔge d̪eʲɐ,on̪ekɔ d̪in̪ɔ pɔrɔ apn̪arɔ s̪at̪ʰe d̪ekʰa
আপনি কেমন আছেন ?,নোয়াখালী আন্নে কেইক্কান আছেন,noɐxɐlɪ ɐnne ke͡ɪ̯kkɐn ɐcʰen,apn̪i kemɔn̪ɔ at͡ɕʰen̪ɔ ?
আপনার কি আমার কথা মনে আছে এখনও ?,নোয়াখালী আন্নের কি আর কতা মনে আছে নি অনো,nokohɐlɪ ɐnneɾ kɪ ɐɾ kɔt̪ɐ mone ɐcʰe nɪ ɔno,apn̪arɔ ki amarɔ kɔt̪ʰa mɔn̪e at͡ɕʰe ekʰn̪o ?
আমার পড়ালেখা করতে ভালো লাগে নাহ,নোয়াখালী আর হরালেয়া কইত্তে ভালা লাগে না,nokohɐlɪ ɐɾ hɔɾɐleʲɐ ko͡ɪ̯t̪t̪e bʱɐlɐ lɐge nɐ,amarɔ pɔɽal̪ekʰa kɔrɔt̪e b̤al̪o l̪aɡe n̪ahɔ
আমার বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন,নোয়াখালী আর স্বপ্ন বিদেশ যাই হরালেয়া করুম,nokohɐlɪ ɐɾ ʃɔpno bɪd̪eʃ ɟɐ͡ɪ̯ hɔɾɐleʲɐ koɾum,amarɔ bid̪eɕe ɡie̯e pɔɽal̪ekʰa kɔrarɔ s̪bɔpn̪ɔ
আপনার সাথে কথা বলে অনেক ভালো লাগলো,নোয়াখালী আন্নের লগে কতা কই অনেক ভালা লাইগছে, nokhɐlɪ ɐnneɾ lɔge kɔt̪ɐ ko͡ɪ̯ ɔnek bʱɐlɐ lɐ͡ɪ̯gcʰe,apn̪arɔ s̪at̪ʰe kɔt̪ʰa bɔl̪e on̪ekɔ b̤al̪o l̪aɡl̪o
অনেকে বলে প্রেম করলে মানুষ বোকা হয়,নোয়াখালী মেলা মাইনষে কয় প্রেম কইরলে মানুষ বেকুক অয়,nokohɪ mɛlɐ mɐ͡ɪ̯nʃe kɔe̯ pɾem ko͡ɪ̯ɾle mɐnuʃ bekuk ɔe̯,on̪eke bɔl̪e premɔ kɔrɔl̪e man̪uʂɔ boka he̯ɔ
অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়,নোয়াখালী অনেকে এটাও কয় বিয়া কইরলে বলে মানুষ গাদা অয়,nokolɪ ɔneke etɐ͡o̯ kɔe̯ bɪʲɐ ko͡ɪ̯ɾle bole mɐnuʃ gɐd̪ɐ ɔe̯,on̪eke aro bɔl̪e d͡ze bie̯e kɔrɔl̪e man̪uʂɔ n̪aki ɡad̪̤a he̯ɔ
একজন লোক মারা গেছেন,নোয়াখালী এগগা মানুষ মরি গেছে,nokolɪ ɛggɐ mɐnuʃ moɾɪ gecʰe,ekɔd͡ʑɔn̪ɔ l̪okɔ mara ɡet͡ɕʰen̪
তুমি এত গরীব আগে কেন বলোনি,নোয়াখালী তুই এত হইনি আগে কিল্লাই কসসো,nokohɐlɪ t̪u͡ɪ̯ ɛt̪o ho͡ɪ̯nɪ ɐge kɪllɐ͡ɪ̯ kɔʃoʃo,t̪umi et̪ɔ ɡɔribɔ aɡe ken̪ɔ bɔl̪on̪i
আমি আগেই বলেছি তুমি ছাড়া এই পৃথিবীতে আমার আর কিছুই নাই,নোয়াখালী আই আগেই কইছি তুউই ছাড়া আর এই হিতিবিতে আর কিছু নাই,nokohɐlɪ ɐ͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɪ t̪u͡u̯ɪ cʰɐɽɐ ɐɾ e͡ɪ̯ hɪt̪ɪbɪt̪e ɐɾ kɪcʰu nɐ͡ɪ̯,ami aɡei bɔl̪et͡ɕʰi t̪umi t͡ɕʰaɽa ei pɽit̪ʰibit̪e amarɔ arɔ kit͡ɕʰui n̪ai
মনের ভালোবাসা চিরদিন থেকে যাবে,নোয়াখালী মনের ভালোবাসা আজীবন থাইকব,noɟɐlɪ moneɾ bʱɐlobɐʃɐ ɐɟɪbɔn t̪ʰɐ͡ɪ̯kɔbo,mɔn̪erɔ b̤al̪obas̪a t͡ɕird̪in̪ɔ t̪ʰeke d͡zabe
জীবনের কিছুটা পথ একা একা চলা তেমন কঠিন নয়,নোয়াখালী জীবনের কিছু হত একলা চলন হেক্কান কঠিন নো,no,d͡ʑibn̪erɔ kit͡ɕʰuta pɔt̪ʰɔ eka eka t͡ɕɔl̪a t̪emɔn̪ɔ kɔtʰin̪ɔ n̪e̯ɔ
জীবন হলো বাঁচার জন্য,নোয়াখালী জীবন অইচে বাইচবার লাই,noɐxɐlɪ zɪbɔn ɔ͡ɪ̯ce bɐ͡ɪ̯cbɐɾ lɐ͡ɪ̯,d͡ʑibɔn̪ɔ hɔl̪o bɔ̃t͡ɕarɔ d͡ʑɔn̪d͡zɔ
মন হলো দেবার জন্য,নোয়াখালী মন অইছে দিবার লাই ,noɐkɐlɪ mon e͡ɪ̯cʰe d̪ɪbɐɾ lɐ͡ɪ̯ ,mɔn̪ɔ hɔl̪o d̪ebarɔ d͡ʑɔn̪d͡zɔ
ভালবাসা হলো সারা জীবন পাশে থাকার জন্য,নোয়াখালী ভালোবাসা অইছে সারাজীবন পাশে থাইকবার লাই ,noɐkɐlɪ bʱɐlobɐʃɐ e͡ɪ̯cʰe ʃɐɾɐɟɪbɔn pɐʃe t̪ʰɐ͡ɪ̯kbɐɾ lɐ͡ɪ̯ ,b̤al̪bas̪a hɔl̪o s̪ara d͡ʑibɔn̪ɔ paɕe t̪ʰakarɔ d͡ʑɔn̪d͡zɔ
আমি কিছু ভাবতে পারিনা তোমায় ছাড়া,নোয়াখালী আই কিছু ভাগবতাম হারিনা তোয়ারে ছাড়া ,nokʰɐlɪ ɐ͡ɪ̯ kɪcʰu bʱɐgbot̪ɐm hɐɾɪnɐ t̪oʷɐɾe cʰɐɽɐ ,ami kit͡ɕʰu b̤abt̪e parin̪a t̪omae̯ɔ t͡ɕʰaɽa
আমি কিছু লিখতে পারিনা তোমার নাম ছাড়া,নোয়াখালী আই কিছু লিকতাম হারিনা তোয়ার নাম ছাড়া ,nokʰɐlɪ ɐ͡ɪ̯ kɪcʰu lɪkt̪ɐm hɐɾɪnɐ t̪oʷɐɾ nɐm cʰɐɽɐ ,ami kit͡ɕʰu l̪ikʰt̪e parin̪a t̪omarɔ n̪amɔ t͡ɕʰaɽa
আমি কিছু বুঝতে চাইনা তোমায় ছাড়া ,নোয়াখালী আই কিছু বুইজদাম চাইনা তোয়ারে ছাড়া ,nokʰɐlɪ ɐ͡ɪ̯ kɪcʰu bu͡ɪ̯ɟd̪ɐm cɐ͡ɪ̯nɐ t̪oʷɐɾe cʰɐɽɐ ,ami kit͡ɕʰu bud͡ʑ̤t̪e t͡ɕain̪a t̪omae̯ɔ t͡ɕʰaɽa 
ভালবাসায় এমন কেন হয়?,নোয়াখালী ভালোবাসা এইক্কান কিল্লাই হয়,noɐkɐlɪ bʱɐlobɐʃɐ e͡ɪ̯kkɐn kɪllɐ͡ɪ̯ hɔe̯,b̤al̪bas̪ae̯ɔ emɔn̪ɔ ken̪ɔ he̯ɔ?
যখন ছেলে বুঝে তখন মেয়ে বুঝেনা ,নোয়াখালী যেত্তে হোলা বুঝে হেইত্তে মাইয়া বুঝে না,nokʰɐlɪ ɟet̪t̪e holɐ buɟʱe he͡ɪ̯t̪t̪e mɐ͡ɪ̯ʲɐ buɟʱe nɐ,d͡zɔkʰɔn̪ɔ t͡ɕʰel̪e bud͡ʑ̤e t̪ɔkʰɔn̪ɔ mee̯e bud͡ʑ̤en̪a 
ভালোবাসি তোমাকে বলা বাকি,নোয়াখালী ভালাবাশি তোমাকে বলা বাকি,nokohɐlɪ bʱɐlɐbɐʃɪ t̪omɐke bɔlɐ bɐkɪ,b̤al̪obas̪i t̪omake bɔl̪a baki
আমার খুব গরম লাগছে,নোয়াখালী আমার মেলা গরম লাগের ,nokohɐlɪ ɐmɐɾ mɛlɐ gɔɾom lɐgeɾ ,amarɔ kʰubɔ ɡɔrɔmɔ l̪aɡt͡ɕʰe
তোমার কি গরম লাগছে ?,নোয়াখালী তোমার গরম লাগের নি?,nokolɪ t̪omɐɾ gɔɾom lɐgeɾ nɪ?,t̪omarɔ ki ɡɔrɔmɔ l̪aɡt͡ɕʰe ?
আপনার কি গরম লাগছে?,নোয়াখালী আন্নের কি গরম লাগেনি?,nokohɐlɪ ɐnneɾ kɪ gɔɾom lɐgenɪ?,apn̪arɔ ki ɡɔrɔmɔ l̪aɡt͡ɕʰe?
আপনি কি আমাকে ভালবাসেন?,নোয়াখালী আন্নে কি আরে ভালা ভাসেন ?,nokohɐlɪ ɐnne kɪ ɐɾe vɐlɐ vɐʃen?,apn̪i ki amake b̤al̪bas̪en̪ɔ?
তোমার জন্য মনে আমার অফুরন্ত আশা,নোয়াখালী তোয়ার লাই মনের ভিত্তে অফুরন্থ আশা,nokʰɐlɪ t̪oʷɐɾ lɐ͡ɪ̯ moneɾ bʱɪt̪t̪e ɔpʰuɾont̪ʰo ɐʃɐ,t̪omarɔ d͡ʑɔn̪d͡zɔ mɔn̪e amarɔ oɸurɔn̪t̪ɔ aɕa
সারা জীবন পেতে চাই তোমার ভালবাসা ,নোয়াখালী সারাজীবন হাইতাম চাই তোমার ভালোবাসা ,nokolɪ ʃɐɾɐɟɪbɔn hɐ͡ɪ̯t̪ɐm cɐ͡ɪ̯ t̪omɐɾ bʱɐlobɐʃɐ ,s̪ara d͡ʑibɔn̪ɔ pet̪e t͡ɕai t̪omarɔ b̤al̪bas̪a 
হারিয়ে যেতে ইচ্ছে করে অনেক দূরে,নোয়াখালী আরাই যাইতাম ইচ্ছা করে মেলা দুরা, noɐkɐlɪ ɐɾɐ͡ɪ̯ ɟɐ͡ɪ̯t̪ɐm ɪccʰɐ koɾe mɛlɐ d̪uɾɐ,harie̯e d͡zet̪e it͡ɕt͡ɕʰe kɔre on̪ekɔ d̪ure
চলোনা দুজনে মিলে ঘুরে আসি ,নোয়াখালী চলোনা দুইজনি মিলি ঘুরি আই,noɐhɐlɪ cɔlonɐ d̪u͡ɪ̯zonɪ mɪlɪ gʱuɾɪ ɐ͡ɪ̯,t͡ɕɔl̪on̪a d̪ud͡ʑn̪e mil̪e ̤ɡ̤ure as̪i 
"চলোনা দুজনে মিলে সাঁতার কাটি 
",নোয়াখালী চলোনা দুইজন মিলি হাবুর কাডি,noɐkɐlɪ cɔlonɐ d̪u͡ɪ̯ɟɔn mɪlɪ hɐbuɾ kɐdɪ,"t͡ɕɔl̪on̪a d̪ud͡ʑn̪e mil̪e s̪ɔ̃t̪arɔ kati 
"
বাস্তব কঠিন হলেও মেনে নিয়ে মানিয়ে চলতে হয়,নোয়াখালী বাস্তব কঠিন হইলেও মানায় লই চলন লাগে,nokohɐlɪ bɐst̪ob kotʰɪn ho͡ɪ̯le͡o̯ mɐnɐe̯ lɔ͡ɪ̯ cɔlon lɐge,bas̪t̪ɔbɔ kɔtʰin̪ɔ hɔl̪eo men̪e n̪ie̯e man̪ie̯e t͡ɕɔl̪ɔt̪e he̯ɔ
ফেসবুকে তার একজনের সাথে সম্পর্ক হয়,নোয়াখালী ফেসবুক এ এগগার লগে সম্পর্ক হইছে,nokohɪ pʰesbuk e ɛggɐɾ lɔge ʃɔmpoɾko ho͡ɪ̯cʰe,ɸes̪buke t̪arɔ ekɔd͡ʑɔn̪erɔ s̪at̪ʰe s̪ɔmpɔrkɔ he̯ɔ
ছেলেটা ভালো চাকরি করে,নোয়াখালী পোলাটা ভালা চাকরি করে,nokolɪ polɐtɐ bʱɐlɐ cɐkɾɪ koɾe,t͡ɕʰel̪eta b̤al̪o t͡ɕakri kɔre
এই পাঁচ মাসে ছেলে তার পরিবার নিয়ে মেয়ের বাসায় যায় না,নোয়াখালী এই পাঁচ মাসে পোলা হিগার পরিবার লই মাইয়ার বাসায় যায় না,nokʰɐlɪ e͡ɪ̯ pɐ̃c mɐʃe polɐ hɪgɐɾ poɾɪbɐɾ lɔ͡ɪ̯ mɐ͡ɪ̯ʲɐɾ bɐʃɐe̯ ɟɐe̯ nɐ,ei pɔ̃t͡ɕɔ mas̪e t͡ɕʰel̪e t̪arɔ pɔribarɔ n̪ie̯e mee̯erɔ bas̪ae̯ɔ d͡zae̯ɔ n̪a
মেয়ে বলে প্রয়োজন পড়লে আমার পরিবার তোমার পরিবারের সাথে কথা বলবে,নোয়াখালী মাইয়া কইতাছে দরকার পড়লে আর পরিবার নি তোমার পরিবার এর লগে কথা কইব,nokʰɐlɪ mɐ͡ɪ̯ʲɐ ko͡ɪ̯t̪ɐcʰe d̪ɔɾkɐɾ pɔɽle ɐɾ poɾɪbɐɾ nɪ t̪omɐɾ poɾɪbɐɾ eɾ lɔge kɔt̪ʰɐ,mee̯e bɔl̪e pre̯od͡ʑɔn̪ɔ pɔɽɔl̪e amarɔ pɔribarɔ t̪omarɔ pɔribarerɔ s̪at̪ʰe kɔt̪ʰa bɔl̪ɔbe
পরিবার বলতে মা বাবা ভাই বোন নিয়ে,নোয়াখালী পরিবার বলতে বাপ মা ভাই বইন নিয়ে ,nokʰɐlɪ poɾɪbɐɾ bolt̪e bɐp mɐ bʱɐ͡ɪ̯ bo͡ɪ̯n nɪʲe ,pɔribarɔ bɔl̪ɔt̪e ma baba b̤ai bon̪ɔ n̪ie̯e
আমার স্বামী দুই বছর আগে আমাদেরকে রেখে এসে আলাদা হয়ে যায়,নোয়াখালী আর স্বামী দুই বছর আগে আমগোরেরাই আলাদা হই গেছে,nokolɪ ɐɾ ʃɐmɪ d̪u͡ɪ̯ bɔcʰoɾ ɐge ɐmgoɾeɾɐ͡ɪ̯ ɐlɐd̪ɐ ho͡ɪ̯ gecʰe,amarɔ s̪bami d̪ui bɔt͡ɕʰɔrɔ aɡe amad̪erke rekʰe es̪e al̪ad̪a he̯e d͡zae̯
আমার পছন্দ হয় এমন মেয়ে তাদের পছন্দ হয় না,নোয়াখালী আর হছন্দ অয় এইক্কান মাইয়া হেতাগো হছন্দ অয়না,nokʰɐlɪ ɐɾ hɔcʰond̪o ɔe̯ e͡ɪ̯kkɐn mɐ͡ɪ̯ʲɐ het̪ɐgo hɔcʰond̪o ɔʲonɐ,amarɔ pɔt͡ɕʰɔn̪d̪ɔ he̯ɔ emɔn̪ɔ mee̯e t̪ad̪erɔ pɔt͡ɕʰɔn̪d̪ɔ he̯ɔ n̪a
আপনার বাবা মার যেহেতু স্বপ্ন ,নোয়াখালী আন্নের বাবা মার যেহেতু স্বপ্ন,nokohɐlɪ ɐnneɾ bɐbɐ mɐɾ ɟehet̪u ʃɔpno,apn̪arɔ baba marɔ d͡zehet̪u s̪bɔpn̪ɔ 
পরে আপনার অনেক আফসোস হবে ,নোয়াখালী হরে আন্নের অনেক আফসোস অইব,nokhɐlɪ hoɾe ɐnneɾ ɔnek ɐpʰsos ɔ͡ɪ̯bo,pɔre apn̪arɔ on̪ekɔ aɸs̪os̪ɔ hɔbe 
তাদের একটি বাচ্চা আছে পাঁচ বছরের,নোয়াখালী হেতাগো এককান বাইচ্চা আছে হাচ বছরের,nokohɐlɪ het̪ɐgo ɛkkɐn bɐ͡ɪ̯ccɐ ɐcʰe hɐc bɔcʰoɾeɾ,t̪ad̪erɔ ekti bat͡ɕt͡ɕa at͡ɕʰe pɔ̃t͡ɕɔ bɔt͡ɕʰɔrer
দুজনেই তাদেরকে চাকরি নিয়ে ব্যস্ত,নোয়াখালী দুইজন ই হেতাগো চাকরি লই বেস্ত,noɐkɐlɪ d̪u͡ɪ̯ɟɔn ɪ het̪ɐgo cɐkɾɪ lɔ͡ɪ̯ best̪o,d̪ud͡ʑn̪ei t̪ad̪erke t͡ɕakri n̪ie̯e bd͡zɔs̪t̪ɔ
সংসারে কেউ ঠিকঠাকমতো সময় দিতে পারেনা,নোয়াখালী সংসারে কেউ ঠীকমত সময় দিতাম হারেনা ,nokohɪ ʃɔŋʃɐɾe ke͡u̯ tʰɪkmɔt̪ ʃɔmɔe̯ d̪ɪt̪ɐm hɐɾenɐ ,s̪ɔŋs̪are keu tʰiktʰakɔmɔt̪o s̪ɔme̯ɔ d̪it̪e paren̪a
স্ত্রীর অভিযোগ স্বামী তার দায়িত্ব ঠিকমতো পালন করছে না,নোয়াখালী স্ত্রীর অভিযোগ স্বামি হেতার দায়িত্ব ঠিকমতো হালন করের না ,nokʰɐlɪ st̪ɾɪɾ obʱɪɟog ʃɐmɪ het̪ɐɾ d̪ɐʲɪt̪t̪o tʰɪkmɔt̪o hɐlon kɔɾeɾ nɐ ,s̪t̪rirɔ ob̤id͡zoɡɔ s̪bami t̪arɔ d̪ae̯it̪bɔ tʰikɔmɔt̪o pal̪ɔn̪ɔ kɔrɔt͡ɕʰe n̪a
আপনার নাম কি ?,নোয়াখালী আন্নের নাম কিয়া?,nokʰɐlɪ ɐnneɾ nɐm kɪʲɐ?,apn̪arɔ n̪amɔ ki ?
তোর নাম কি ?,নোয়াখালী তোয়ার নাম কিয়া?,nokʰɐlɪ t̪oʷɐɾ nɐm kɪʲɐ?,t̪orɔ n̪amɔ ki ?
তোর গ্রামের বাড়ি কোঁথায় ?,নোয়াখালী তোয়ার বাবার নাম কিয়া?,nokʰɐlɪ t̪oʷɐɾ bɐbɐɾ nɐm kɪʲɐ?,t̪orɔ ɡɔramerɔ baɽi koঁt̪ʰae̯ɔ ?
তোর বাবার নাম কি ?,নোয়াখালী তোয়ার বাড়ি কোনাই?,nokʰɐlɪ t̪oʷɐɾ bɐɽɪ konɐ͡ɪ̯?,t̪orɔ babarɔ n̪amɔ ki ?
তোর মার নাম কি ?,নোয়াখালী তোয়ার মার নাম কিয়া?,nokʰɐlɪ t̪oʷɐɾ mɐɾ nɐm kɪʲɐ?,t̪orɔ marɔ n̪amɔ ki ?
পরে খুঁজে নাও পেতে পারি,নোয়াখালী হরে খুজি নাও হাইতাম হারি,nokohɐlɪ hoɾe kʰuɟɪ nɐ͡o̯ hɐ͡ɪ̯t̪ɐm hɐɾɪ,pɔre kʰuঁd͡ʑe n̪ao pet̪e pari
তাদের সঙ্গে আমি সব সময় আনন্দে ভরে থাকি,নোয়াখালী হেতাগো লগে আই মেলা সময় আনন্দে ভরি থাই,nokʰɐlɪ het̪ɐgo lɔge ɐ͡ɪ̯ mɛlɐ ʃɔmɔe̯ ɐnond̪e bʱoɾɪ t̪ʰɐ͡ɪ̯,t̪ad̪erɔ s̪ɔŋɡe ami s̪ɔbɔ s̪ɔme̯ɔ an̪ɔn̪d̪e b̤ɔre t̪ʰaki
আমার বন্ধুরা আমাকে ভালবাসা দেয়,নোয়াখালী আর বন্দুঅগল আরে ভালোবাসা দেয়,nokʰɐlɪ ɐɾ bond̪u͡ɔ̯gɔl ɐɾe bʱɐlobɐʃɐ d̪ee̯,amarɔ bɔn̪d̪̤ura amake b̤al̪bas̪a d̪ee̯
আমরা সবাই একসাথে হাসি খুশি করে সময় কাটাই,নোয়াখালী আমরা বেকে সবসময় একসাথে হাসিখুশি থাই সময় কাডাই,nokɔlɪ ɐmɾɐ beke ʃɔbʃɔmɔe̯ ɛkʃɐt̪ʰe hɐʃɪkʰuʃɪ t̪ʰɐ͡ɪ̯ ʃɔmɔe̯ kɐdɐ͡ɪ̯,amra s̪ɔbai eks̪at̪ʰe has̪i kʰuɕi kɔre s̪ɔme̯ɔ katai
আমাদের মধ্যে কোন রকম ঝগড়া নেই,নোয়াখালী আংগোর ভিত্তে কোন ঝগড়া নাই,noɟɐlɪ ɐŋgoɾ bʱɪt̪t̪e kon ɟʱɔgɽɐ nɐ͡ɪ̯,amad̪erɔ mɔd̪̤d͡ze kon̪ɔ rɔkɔmɔ d͡ʑ̤ɔɡɔɽa n̪ei
আমার বোন আমার সাথে সব সময় থাকতে চায়,নোয়াখালী আর বইন আর লগে বেকসময় থাইকতাম চায়,nokʰɐlɪ ɐɾ bo͡ɪ̯n ɐɾ lɔge bekʃɔmɔe̯ t̪ʰɐ͡ɪ̯kɔt̪ɐm cɐe̯,amarɔ bon̪ɔ amarɔ s̪at̪ʰe s̪ɔbɔ s̪ɔme̯ɔ t̪ʰakt̪e t͡ɕae̯
আমি আমার ভাইকে অনেক ভালোবাসি,নোয়াখালী আই আর ভাইরে অনেক ভালোবাসি ,nokʰɐlɪ ɐ͡ɪ̯ ɐɾ bʱɐ͡ɪ̯ɾe ɔnek bʱɐlobɐʃɪ ,ami amarɔ b̤aike on̪ekɔ b̤al̪obas̪i
আমি আমার বোনকে অনেক ভালোবাসি,নোয়াখালী আই আর বইনরে অনেক ভালোবাসি ,nokohɐlɪ ɐ͡ɪ̯ ɐɾ bo͡ɪ̯noɾe ɔnek bʱɐlobɐʃɪ ,ami amarɔ bon̪ke on̪ekɔ b̤al̪obas̪i
একটি গ্রামে একজন খারাপ ছেলে থাকতো,নোয়াখালী এককান গেরামে একজন খারাপ হোলা থাইকত ,noɐkɐlɪ ɛkkɐn geɾɐme ɛkzon xɐɾɐp holɐ t̪ʰɐ͡ɪ̯kɔt̪o ,ekti ɡɔrame ekɔd͡ʑɔn̪ɔ kʰarapɔ t͡ɕʰel̪e t̪ʰakt̪o
সে সবসময় মিথ্যা কথা বলতো,নোয়াখালী হেতে বেক সময় মিত্যা কতা কইত,nokʰɐlɪ het̪e bek ʃɔmɔe̯ mɪt̪t̪ɐ kɔt̪ɐ ko͡ɪ̯t̪o,s̪e s̪ɔbɔs̪ɔme̯ɔ mit̪ʰd͡za kɔt̪ʰa bɔl̪ɔt̪o
