Pokorny_entry	English_gloss
1 u̯ā-, u̯ō-, u̯ə-	to hit, wound
u̯en-	to hit, wound
2 u̯ā-	(to pull) apart
u̯āb-	to call, cry, weep, lament
u̯adh-	pledge
u̯ādh-, u̯ədh-	to go, wade, stride, march
1 u̯ā̆g-	sheath, cover, hollow lid
2 u̯ā̆g-	to cry, shriek
u̯ā̆gh-, suā̆gh-	to cry, shriek, sough
u̯ai	woe; wolf
u̯ā̆i-, u̯ī-	weak, miserable
u̯ā̆kā	cow
u̯al-, u̯al-d(h)-	to prevail, be strong
u̯ank̑-	beam
1 u̯ap-	to chatter
2 u̯ap-, ū̆p-	to call, cry
u̯āsto-s	to lack; empty
1 u̯āt-, better u̯ōt-	wood, vatic, mentally animated
2 u̯ā̆t-	to bend, curve
u̯azdh-, better u̯ozdh-	long, wide
1 u̯ē̆-, u̯ei-	we two (dual), we (plural)
2 u̯e-, u̯edh-	to weave
3 u̯ē-, u̯ə-	to blow
4 u̯e-, u̯o-, u̯es-	from, away, downward
5 u̯e-, u̯o-	other; that (one)
1 u̯ebh-	to plait, weave, waver, move back and forth
2 u̯ebh-	to roam, swarm, wander
u̯ed-	to lead
1 u̯edh-	to hit, push
2 u̯edh-, before nasals u̯ed-	to lead
3 u̯edh-	to tie, bind, attach
u̯eg-	to bind, weave
u̯eg̑-	fresh, strong
u̯egu̯- : ū̆gu̯-, uku̯s-	damp, moist; to wet, sprinkle, irrigate; ox
u̯eg̑h-	to move, drive, carry, convey
u̯əg- : u̯āg-	bent, curved
1 u̯ei-, u̯ei̯ə- : u̯ī̆-	to bend, turn, wind
2 u̯ei-, u̯ei̯ə- : u̯ī̆-	to wizen, wither
3 u̯ei-, u̯eiə- : u̯ī-	to wish, pursue, go for, reach towards; strong, violent
u̯eib-	to sway, turn
1 u̯eid-	to bend, turn
2 u̯(e)id-	to vide, see, wit, know
u̯eidh-, u̯idh-	to divide, separate; widow
1 u̯eik-	to choose, filter, sort out
2 u̯eik-	force, energy (in battle, victory, etc.)
3 u̯eik-	to happen, become equal, come together
4 u̯eik-, u̯eig-, extended form of u̯ei-	to bend, curve; exchange, pass around
u̯eik̑-, u̯ik̑-, u̯oik̑o-	house, village, settlement
u̯eip-, u̯eib-	to turn, whip, sway, vibrate
1 u̯eis-	to grow, sprout
2 u̯eis-	to bend, turn
3 u̯eis-	to flow (away); ooze, virus, poison
u̯ek-, u̯e-n-k-	to bend
u̯ək- : *u̯āk-	bent
u̯ek̑-	to want, wish
u̯eku̯-	to voice, speak, evoke
u̯ek-ti-	whit, thing
1 u̯el-	to see
2 u̯el-, u̯lei-, u̯lē(i)-	to will, want, wish, choose
3 u̯el-	to crowd, press, push
4 u̯el-, u̯elə-	wool, hair; grass, wold, forest
5 u̯el-, u̯elə-	to deceive
6 u̯el-	warm
7 u̯el-, u̯elə-, u̯lē-	to turn, wind; round, voluble
8 u̯el-	to steal; to wound, tear, avulse
1 u̯elk-	to pull, drag
2 u̯elk-, u̯elg-	wet, damp
u̯em-, u̯emə-	to spit, spew, wamble, vomit
1 u̯en-, u̯enə-	to love, venerate, strive/wish for
2 u̯en-	to hit, wound
1 u̯endh-	to turn, wind, wend
2 u̯endh-	to wane, disappear
3 u̯endh-	hair, beard
u̯e-n-g-	bent
u̯e-n-gh-	bent
u̯e-n-k-	bent
1 *u̯ep- : u̯ō̆p- : up-	water
2 u̯ep-	to strew, throw out
u̯ēp- : u̯əp-	to blow; to soar
1 u̯er-, also su̯er-	to bind, attach; strive
2 u̯er-	highland, raised place; high, top
3 u̯er-	to bend, turn, wrap
3a u̯er-, u̯r̥mi-s, u̯r̥mo-s	worm
3b u̯er-, u̯er-b-, and u̯er-bh-	to bend, turn, warp
3c u̯er-, u̯(e)r-ed-	to sway, bend down
3d u̯er-, u̯er-g-	to turn, wrench
3e u̯er-, u̯er-g̑h-	to turn, press, wring, strangle
3f u̯er-, u̯er-k-	to bend, turn, wind
3g u̯er-, u̯er-p-, u̯r-ep-	to turn, wind
3h u̯er-, u̯er-t-	to turn, wind, invert
3i u̯er-, u̯r-ei-	to clench the teeth; wroth, confused
4 u̯er-	to find, take
5 u̯er-	to shut, close, cover; guard, warn, save
6 u̯er-	to speak, talk formally
7 u̯er-	to root, open, tear up
8 u̯er-	to notice, observe, attend, be aware
9 u̯er- : u̯eru-s	wide, broad
10 u̯er-	to flow; wet; water, river, etc.
11 u̯er-, u̯erə-	to show friendship; true, very, veracious, trustworthy
12 u̯er-	to burn
13 u̯er-	squirrel, weasel, etc.
u̯(e)rād-, u̯erəd-, u̯rəd-	root, branch, twig
u̯erdh-, u̯redh-	to grow; high
1 u̯erg̑-, u̯reg̑-	to (en)close, shut off; pen
2 u̯erg̑-, u̯reg̑-	to do, work, be effective
3 u̯erg̑-, u̯org̑-	to abound, be very strong; to swarm, swell
u̯er-g-, u̯er-g̑h-, u̯er-k-	to bend, turn
u̯er-(e)nā	alder, poplar
u̯ers-	to drag along the ground
u̯eren-	lamb, ram, sheep
1 u̯es-	to live, stay overnight
2 u̯es-	to feast
3 u̯es-	to ooze, dampen; wet
4 u̯es-	to stick, stab, pierce
5 u̯es-	to dress, clothe, wear
6 u̯ē̆s-	you (plural)
7 u̯es-	to turn, wind, wrap
8 u̯es-	to buy, sell, exchange
u̯es-no-	price
9 u̯es-	to shine
u̯esperos, u̯ekeros	vesper, evening
u̯es-r̥	spring
u̯ē̆su-	good
u̯et-	year
1 u̯ī̆-	apart, separate from, in two; both
2 u̯ī̆-, u̯oi-	(onomatopoeic root)
u̯idhu-	tree, wood
u̯ī-k̑m̥t-ī	twenty
u̯ī̆ks-	mistletoe, tree with sticky(?) sap
u̯ing̑-, and u̯eig̑-, u̯ig̑-?	elm (tree)
u̯ī̆ro-s	man, warrior
u̯i̯eth-, u̯ith-	to shake
u̯lek-, u̯l̥k-	to light, shine; fiery
u̯l̥ku̯os	wolf, lobo
u̯l̥p-, lup-	(carnivorous animal, esp. fox, wolf, etc.)
u̯obhsā	wasp
u̯ogu̯hni-s, u̯ogu̯hnes-	plowshare
u̯okso-	wax
u̯ōro-	madness; dizziness, weariness
u̯ortoko-	quail
1 u̯rā̆g̑h- : u̯rəg̑h-	spike, thorn
2 u̯rāg̑h- : u̯rəg̑h-	to hit, push
u̯reg-, and u̯erg-?	to drag, push, drive, thrust
u̯rēg̑-, u̯rōg̑-, u̯rəg̑-	to break
u̯rek-	to speak, talk formally
u̯reik-, u̯ereik-	heather
u̯ren-	to splash, sprinkle
u̯reth- : u̯roth-, or u̯rath-	to support
u̯rughi̯o-	rye
