bangla_speech,regional,regional_ipa,bangla_speech_ipa
তুমি নেই এই কঠিন সত্যিটা আমি আজও বিশ্বাস করতে পারছি না,সিলেট তুমি নাই অউ কঠিন সত্তিটা মুই এবোধরি বিশ্বাস খরতাম ফারিয়ার না,ʃɔlhe t̪umɪ nɐ͡ɪ̯ ɔ͡u̯ kotʰɪn ʃɔt̪t̪ɪtɐ mu͡ɪ̯ ebod̪ʱoɾɪ bɪʃʃɐʃ xɔɾt̪ɐm fɐɾɪʲɐɾ nɐ,t̪umi n̪ei ei kɔtʰin̪ɔ s̪ɔt̪d͡zita ami ad͡ʑo biɕbas̪ɔ kɔrɔt̪e part͡ɕʰi n̪a
কেনো জানি মনে হয় বেলা শেষে তুমি ঘরে ফিরবে ,সিলেট খেনে জানি মনে অয় বেলা শেষে তুমি ঘরো ফিরবায়,ʃɔlhe kʰene ɟɐnɪ mone ɔe̯ belɐ ʃeʃe t̪umɪ gʱɔɾo pʰɪɾbɐe̯,ken̪o d͡ʑan̪i mɔn̪e he̯ɔ bel̪a ɕeʂe t̪umi ̤ɡ̤ɔre ɸirbe 
আমি এক সন্ধ্যায় অফিস থেকে বাসায় ফিরে দেখবো তুমি আছো সত্যিই তুমি আছো,সিলেট মুই এখ সইন্দাকালো অফিস থাকি বাসাত আইয়া দেখমু তুমি আছো হাছাউ তুমি আছো,ʃɔlhe mu͡ɪ̯ ɛkʰo ʃo͡ɪ̯nd̪ɐkɐlo ɔpʰɪs t̪ʰɐkɪ bɐʃɐt̪ ɐ͡ɪ̯ʲɐ d̪ekʰmu t̪umɪ ɐcʰo hɐcʰɐ͡u̯,ami ekɔ s̪ɔn̪d̪̤d͡zae̯ɔ oɸis̪ɔ t̪ʰeke bas̪ae̯ɔ ɸire d̪ekʰbo t̪umi at͡ɕʰo s̪ɔt̪d͡zii t̪umi at͡ɕʰo
তুমি তোমার কন্যাকে নিয়ে ব্যস্ত সময় পার করছ,সিলেট তুমি তুমার ফুড়িরে লইয়া ব্যস্ত সময় পার কররায়,ʃɔlhe t̪umɪ t̪umɐɾ pʰuɽɪɾe lɔ͡ɪ̯ʲɐ bɛst̪o ʃɔmɔe̯ pɐɾ koɾɾɐe̯,t̪umi t̪omarɔ kɔn̪d͡zake n̪ie̯e bd͡zɔs̪t̪ɔ s̪ɔme̯ɔ parɔ kɔrɔt͡ɕʰɔ
আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে,সিলেট মুই জিন্দেগিত ইকান ভাবছিও না যে আমার ফুড়ি তাইর মার আদর ভালোবাসা ছাড়া বড় অইবো বাসার কামর মানুষর টাইন,ʃɔlhe mu͡ɪ̯ ɟɪnd̪egɪt̪o ɪkɐn bʱɐbcʰɪ͡o̯ nɐ ɟe ɐmɐɾ pʰuɽɪ t̪ɐ͡ɪ̯ɾ mɐɾ ɐd̪oɾ bʱɐlobɐʃɐ ,ami kon̪d̪in̪ɔ t͡ɕin̪t̪ao kɔrin̪i amarɔ mee̯e t̪arɔ marɔ ad̪ɔrɔ b̤al̪obas̪a t͡ɕʰaɽa bɔɽɔ hɔbe bas̪arɔ kad͡ʑerɔ man̪uʂerɔ kat͡ɕʰe
দম বন্ধ হয়ে আসে চিৎকার করে কাঁদতে ইচ্ছে করে,সিলেট দম বন অইয়া আয় চিক্কার মারিয়া কান্দার ইচ্ছা খরে,ʃɔlhe d̪ɔm bɔno ɔ͡ɪ̯ʲɐ ɐe̯ cɪkkɐɾ mɐɾɪʲɐ kɐnd̪ɐɾ ɪccʰɐ xoɾe,d̪ɔmɔ bɔn̪d̪̤ɔ he̯e as̪e t͡ɕit̪karɔ kɔre kɔ̃d̪ɔt̪e it͡ɕt͡ɕʰe kɔre
তুমি জানো সত্যিই খুব কঠিন বাবা হয়ে মায়ের দায়িত্ব পালন করা,সিলেট তুমি জানোনি হাছাউ বাফ অইয়া মার দায়িত্ব ফালন খরা খুব কঠিন,ʃɔlhe t̪umɪ zɐnonɪ hɐcʰɐ͡u̯ bɐf ɔ͡ɪ̯ʲɐ mɐɾ d̪ɐʲɪt̪t̪o fɐlon xɔɾɐ xub kotʰɪn,t̪umi d͡ʑan̪o s̪ɔt̪d͡zii kʰubɔ kɔtʰin̪ɔ baba he̯e mae̯erɔ d̪ae̯it̪bɔ pal̪ɔn̪ɔ kɔra
সন্তানকে একমাত্র তার মায়ের কোলেই মানায়,সিলেট হুরুতারে এখমাত্র তারার মার কুলেউ মানায়,ʃɔlhe huɾut̪ɐɾe ɛkʰmɐt̪ɾo t̪ɐɾɐɾ mɐɾ kule͡u̯ mɐnɐe̯,s̪ɔn̪t̪an̪ke ekmat̪rɔ t̪arɔ mae̯erɔ kol̪ei man̪ae̯
তোমার কন্যা আমার কোলে এসে শুধু তোমাকে খোঁজে মনে হয়,সিলেট তুমার ফুড়ি মোর কুলো আইয়া খালি তুমারে খুঁজে মনে অয়,ʃɔlhe t̪umɐɾ pʰuɽɪ moɾ kulo ɐ͡ɪ̯ʲɐ kʰɐlɪ t̪umɐɾe kʰũɟe mone ɔe̯,t̪omarɔ kɔn̪d͡za amarɔ kol̪e es̪e ɕud̪̤u t̪omake kʰoঁd͡ʑe mɔn̪e he̯ɔ
তুমি চলে যাওয়ার পর তোমার মেয়ে কেমন যেন শান্ত হয়ে গেছে,সিলেট তুমি যাওয়ার পর থাকি তুমার ফুড়ি কিলান জানি নিরাই অই গেছে,ʃɔlhe t̪umɪ ɟɐ͡o̯ʷɐɾ pɔɾ t̪ʰɐkɪ t̪umɐɾ pʰuɽɪ kɪlɐn ɟɐnɪ nɪɾɐ͡ɪ̯ ɔ͡ɪ̯ gecʰe,t̪umi t͡ɕɔl̪e d͡zaoe̯arɔ pɔrɔ t̪omarɔ mee̯e kemɔn̪ɔ d͡zen̪ɔ ɕan̪t̪ɔ he̯e ɡet͡ɕʰe
এটা হয়তো কেউ বুঝতে পারছে না আমি ছাড়া,সিলেট ইখটা হয়তো কেউ বুজতো ফারের না মুই ছাড়া,ʃɔlhe ɪkʰtɐ hɔʲt̪o ke͡u̯ buɟt̪o pʰɐɾeɾ nɐ mu͡ɪ̯ cʰɐɽɐ,eta he̯ɔt̪o keu bud͡ʑ̤t̪e part͡ɕʰe n̪a ami t͡ɕʰaɽa
আমি যে বাবা আমি আমার কন্যার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি,"সিলেট মুই তো বাফ , মুই মোর ফুড়ির মুকর দিকে চাইয়া বহুত্তা বুজতাম ফারি","ʃɔlhe mu͡ɪ̯ t̪o bɐpʰ, mu͡ɪ̯ moɾ pʰuɽɪɾ mukoɾ d̪ɪke cɐ͡ɪ̯ʲɐ bohut̪t̪ɐ buɟt̪ɐm pʰɐɾɪ",ami d͡ze baba ami amarɔ kɔn̪d͡zarɔ mukʰerɔ d̪ike t̪akie̯e on̪ekɔ kit͡ɕʰu bud͡ʑ̤t̪e pari
এই রকম মানুষেরা কখনো ঠিক হয় না,সিলেট ইলান মানুষ কুনোদিন ঠিক অইন না,ʃɔlhe ɪlɐn mɐnuʃ kunod̪ɪn tʰɪk ɔ͡ɪ̯n nɐ,ei rɔkɔmɔ man̪uʂera kɔkʰɔn̪o tʰikɔ he̯ɔ n̪a
তাদের দুজনের বিয়ে হওয়ার কথা ছিল,সিলেট তারার দুইজনর বিয়া অউয়ার কথা আছিল,ʃɔlhe t̪ɐɾɐɾ d̪u͡ɪ̯zɔnoɾ bɪʲɐ ɔ͡u̯ʲɐɾ kɔt̪ʰɐ ɐcʰɪlo,t̪ad̪erɔ d̪ud͡ʑn̪erɔ bie̯e hoe̯arɔ kɔt̪ʰa t͡ɕʰil̪
কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়,সিলেট কিন্তুক ফুয়া আখতা ফুড়িরে কুনতা না জানাইয়া দেশর বাইরে গেছে গি,ʃɔlhe kɪnt̪uk pʰuʲɐ ɐkʰt̪ɐ pʰuɽɪɾe kunt̪ɐ nɐ ɟɐnɐ͡ɪ̯ʲɐ d̪eʃɔɾ bɐ͡ɪ̯ɾe gecʰe gɪ,kin̪t̪u t͡ɕʰel̪e hɔtʰat̪ɔ kɔre t̪ɔrunike n̪a d͡ʑan̪ie̯e d̪eɕerɔ baire t͡ɕɔl̪e d͡zae̯
এর মাঝে মেয়েটি তার পরিবারের পছন্দে বিয়ে করে,সিলেট এর মাঝে ফুড়ি ইগু তাইর পরিবারর পছন্দে বিয়া খরি লাইছে,ʃɔlhe eɾ mɐzʱe fuɽɪ ɪgu t̪ɐ͡ɪ̯ɾ poɾɪbɐɾoɾ pɔcʰond̪e bɪʲɐ xoɾɪ lɐ͡ɪ̯cʰe,erɔ mad͡ʑ̤e mee̯eti t̪arɔ pɔribarerɔ pɔt͡ɕʰɔn̪d̪e bie̯e kɔre
সে মেয়েটির সাথে যোগাযোগ করে,সিলেট হে ফুড়ি ইগুর লগে যুগাযুগ খরে,ʃɔlhe he fuɽɪ ɪguɾ lɔge zugɐzug xoɾe,s̪e mee̯etirɔ s̪at̪ʰe d͡zoɡad͡zoɡɔ kɔre
মেয়েটি কাউকে বিয়ে করতে রাজি হয় না,সিলেট ফুড়ি ইগু খেউরে বিয়া করাত রাজি অয় না,ʃɔlho pʰuɽɪ ɪgu kʰe͡u̯ɾe bɪʲɐ kɔɾɐt̪ ɾɐɟɪ ɔe̯ nɐ,mee̯eti kauke bie̯e kɔrɔt̪e rad͡ʑi he̯ɔ n̪a
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,সিলেট হউ ফুয়া কুনতা হুনতো চায় না তাইর লগে দেখা করতো চায়,ʃɔlhe hɔ͡u̯ pʰuʲɐ kunt̪ɐ hunt̪o cɐe̯ nɐ t̪ɐ͡ɪ̯ɾ lɔge d̪ɛkʰɐ koɾt̪o cɐe̯,oi t͡ɕʰel̪e kon̪ɔ kit͡ɕʰui ɕun̪t̪e t͡ɕae̯ɔ n̪a t̪arɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e t͡ɕae̯
মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না,সিলেট ফুড়ি মামলা চায় না কারণ তাই বিয়াতি মামলার বিষয়টা জানাজানি অইলে সংসার টিকতো নায়,ʃɔlhe pʰuɽɪ mɐmlɐ cɐe̯ nɐ kɐɾon t̪ɐ͡ɪ̯ bɪʲɐt̪ɪ mɐmlɐɾ bɪʃɔʲtɐ ɟɐnɐɟɐnɪ ɛ͡ɪ̯le ʃɔŋʃ,mee̯e maml̪a t͡ɕae̯ɔ n̪a karɔnɔ s̪e bibahit̪ɔ maml̪arɔ biʂe̯ɔta d͡ʑan̪ad͡ʑan̪i hɔl̪e s̪ɔŋs̪arɔ tikbe n̪a
আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে,সিলেট মোর জাামাই বাক্কা ফুড়িন্তর লগে হারা রাইত জাগিয়া মাতে,ʃɔlhe moɾ ɟɐɐmɐ͡ɪ̯ bɐkkɐ pʰuɽɪnt̪ɔɾ lɔge hɐɾɐ ɾɐ͡ɪ̯t̪o ɟɐgɪʲɐ mɐt̪e,amarɔ s̪bami bib̤in̪n̪ɔ mee̯erɔ s̪at̪ʰe s̪ara rat̪ɔ d͡ʑeɡe kɔt̪ʰa bɔl̪e
এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে,সিলেট এখন খতা অইলো মুই কাবিনর টেখা দিলাইমু ফত্তেক মাসে মাসে ,ʃɔlhe ɛxon xɔt̪ɐ ɔ͡ɪ̯lo mu͡ɪ̯ kɐbɪnɔɾ texɐ d̪ɪlɐ͡ɪ̯mu fot̪t̪ek mɐʃe mɐʃe ,ekʰɔn̪ɔ kɔt̪ʰa hɔl̪o ami kabin̪erɔ taka d̪ie̯e d̪ibo prɔt̪i mas̪e mas̪e
আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি,সিলেট মুই সাত মাস পিরিত খরি এখজনরে বিয়া খরছি,ʃɔlhe mu͡ɪ̯ ʃɐt̪ mɐʃ pɪɾɪt̪o xoɾɪ ɛxzonɾe bɪʲɐ xoɾcʰɪ,ami s̪at̪ɔ mas̪ɔ premɔ kɔre ekɔd͡ʑɔn̪ɔke bie̯e kɔret͡ɕʰi
এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল,সিলেট এখন বিয়ার পরে জানতাম ফারছি মোর জামাই আগে দুই বিয়া করছইন,ʃɔlhe ɛkʰon bɪʲɐɾ pɔɾe ɟɐnt̪ɐm pʰɐɾcʰɪ moɾ ɟɐmɐ͡ɪ̯ ɐge d̪u͡ɪ̯ bɪʲɐ koɾcʰɪn,ekʰɔn̪ɔ bie̯erɔ pɔrɔ d͡ʑan̪t̪e pari amarɔ s̪bami aɡe d̪uiti bie̯e kɔret͡ɕʰil̪
আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি,সিলেট মুুই মানসিকভাবে বাক্কা সমস্যার মাঝে আছি,ʃɔlhe muu͡ɪ̯ mɐnoʃɪkbʱɐbe bɐkkɐ ʃɔmoʃʃɐɾ mɐɟʱe ɐcʰɪ,ami mɔn̪ɔs̪ikɔ b̤abe kʰubɔ s̪ɔmɔs̪d͡zarɔ mɔd̪̤d͡ze at͡ɕʰi
আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে,সিলেট মোর খতা এখান অউ ফুয়াইন্তর লগে কিওর দরখার থাকতো পারে। ,ʃɔlhe moɾ xɔt̪ɐ exɐn ɔ͡u̯ fuʲɐ͡ɪ̯nt̪ɔɾ lɔge kɪ͡o̯ɾ d̪ɔɾxɐɾ t̪ʰɐkt̪o pɐɾe। ,amarɔ ektai kɔt̪ʰa t͡ɕʰel̪e man̪uʂerɔ kat͡ɕʰe kis̪erɔ pre̯od͡ʑɔn̪ɔ t̪ʰakt̪e pare
ক্লাসের সব মেয়েদের সাথেই মিশতাম,সিলেট ক্লাসর হখল ফুড়িন্তর লগেউ মিশতাম,ʃɔlɪ klɐʃɔɾ hɔxol fuɽɪnt̪ɔɾ lɔge͡u̯ mɪʃt̪ɐm,kl̪as̪erɔ s̪ɔbɔ mee̯ed̪erɔ s̪at̪ʰei miɕt̪am
আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল,সিলেট মুই ধরিয়া নিলাম মোর বাক্কা দুষ বাক্কা ভুল,ʃɔlhe mu͡ɪ̯ d̪ʱoɾɪʲɐ nɪlɐm moɾ bɐkkɐ d̪uʃ bɐkkɐ bʱul,ami d̪̤ɔre n̪il̪amɔ amarɔ on̪ekɔ d̪oʂɔ on̪ekɔ b̤ul̪
কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?,সিলেট কিন্তু আমারার তিন বছর্‌র বাইচ্চা তার দুষ কুন জাগাত?,ʃɔlhe kɪnt̪u ɐmɐɾɐɾ t̪ɪn bɔcʰoɾɾo bɐ͡ɪ̯ccɐ t̪ɐɾ d̪uʃ kun ɟɐgɐt̪?,kin̪t̪u amad̪erɔ t̪in̪ɔ bɔt͡ɕʰɔrerɔ bat͡ɕt͡ɕa t̪arɔ kot̪ʰae̯ɔ d̪oʂɔ?
আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য,সিলেট আমরা কইছলাম এখটু সময় লওয়ার লাগি আর তানর বউরে লইয়া আওয়ার লাগি,ʃɔlho ɐmɾɐ ko͡ɪ̯cʰɔlɐm ekʰtu ʃɔmɔe̯ lɔ͡o̯ʷɐɾ lɐgɪ ɐɾ t̪ɐnoɾ bo͡u̯ɾe lɔ͡ɪ̯ʲɐ ɐ͡o̯ʷɐɾ,amra bɔl̪i ektu s̪ɔme̯ɔ n̪eoe̯arɔ d͡ʑɔn̪d͡zɔ arɔ un̪arɔ s̪t̪rike n̪ie̯e as̪arɔ d͡ʑɔn̪d͡zɔ
তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো,সিলেট তুমারে যেদিন কইছলাম বিয়াটা খরি লাও,ʃɔlhe t̪umɐɾe ɟed̪ɪn ko͡ɪ̯cʰɔlɐm bɪʲɐtɐ kʰoɾɪ lɐ͡o̯,t̪omake d͡zed̪in̪ɔ bɔl̪et͡ɕʰil̪amɔ bie̯eta kɔre ɸel̪o
সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য,সিলেট হেদিন খতা খান কইছলাম খালি তুমার ভালার লাগি ,ʃɔlhe hed̪ɪn xɔt̪ɐ xɐn ko͡ɪ̯cʰɔlɐm xɐlɪ t̪umɐɾ vɐlɐɾ lɐgɪ ,s̪ed̪in̪ɔ kɔt̪ʰata bɔl̪et͡ɕʰil̪amɔ ɕud̪̤u t̪omarɔ b̤al̪orɔ d͡ʑɔn̪d͡zɔ
কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না,সিলেট কিন্তু তুমি এখন অতউ ভালা আছো যেন আমি মানতাম ফারিয়ার না ,ʃɔlhe kɪnt̪u t̪umɪ ɛxon ɔt̪o͡u̯ vɐlɐ ɐcʰo zeno ɐmɪ mɐnt̪ɐm fɐɾɪʲɐɾ nɐ ,kin̪t̪u t̪umi ekʰɔn̪ɔ et̪oi b̤al̪o at͡ɕʰo d͡ze ami s̪eta man̪t̪e part͡ɕʰi n̪a
তুমি আর আমার নেই আমি এটা মানতে পারছি না,সিলেট তুমি আর মোর নাই ইকান মানিয়া নিতাম ফাররাম না,ʃɔlhet t̪umɪ ɐɾ moɾ nɐ͡ɪ̯ ɪkɐn mɐnɪʲɐ nɪt̪ɐm pʰɐɾɾɐm nɐ,t̪umi arɔ amarɔ n̪ei ami eta man̪t̪e part͡ɕʰi n̪a
পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে,সিলেট পছন্দ খরিয়াও পরিবারর মাইধ্যমে বিয়া খরি আনছে ,ʃɔlhe pɔcʰond̪o xoɾɪʲɐ͡o̯ poɾɪbɐɾoɾ mɐ͡ɪ̯d̪d̪ʱome bɪʲɐ xoɾɪ ɐncʰe ,pɔt͡ɕʰɔn̪d̪ɔ kɔrei pɔribarerɔ mad̪̤d͡zɔme bie̯e kɔre en̪et͡ɕʰe
আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে ,সিলেট মোর ভালাপাওয়া মানুষর লগেউ মোর বিয়া অইছে ,ʃɔlhe moɾ bʱɐlɐpɐ͡o̯ʷɐ mɐnuʃɔɾ lɔge͡u̯ moɾ bɪʲɐ e͡ɪ̯cʰe ,amarɔ b̤al̪obas̪arɔ man̪uʂerɔ s̪at̪ʰe amarɔ bie̯e he̯et͡ɕʰe 
তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না ,সিলেট তারে ছাড়া মুই হয়তো বাচতাম ফারতাম নায়,ʃɔlhe t̪ɐɾe cʰɐɽɐ mu͡ɪ̯ hɔʲt̪o bɐct̪ɐm pʰɐɾt̪ɐm nɐe̯,t̪ake t͡ɕʰaɽa ami he̯ɔt̪o bat͡ɕɔঁt̪e parbo n̪a 
এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই,সিলেট এখন আর মানুষর মাঝে মায়া জিনিসটা খুব এখটা রইছে না,ʃɔlhet ɛkʰon ɐɾ mɐnuʃɔɾ mɐɟʱe mɐʲɐ ɟɪnɪʃtɐ kʰub ɛkʰtɐ ɾo͡ɪ̯cʰe nɐ,ekʰɔn̪ɔ arɔ man̪uʂerɔ mɔd̪̤d͡ze mae̯a biʂe̯ɔta kʰubɔ ekta n̪ei
আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,সিলেট মুই মোর ছুটো বাইচ্চাগুরে লইয়া বাফর বাড়িত যাই,ʃɔlhe mu͡ɪ̯ moɾ cʰuto bɐ͡ɪ̯ccɐguɾe lɔ͡ɪ̯ʲɐ bɐpʰɔɾ bɐɽɪt̪o ɟɐ͡ɪ̯,ami amarɔ t͡ɕʰotɔ bat͡ɕt͡ɕake n̪ie̯e babarɔ baɽit̪e d͡zai
আপনি নিজের পরিবার নিয়ে বসুন,সিলেট আফনে নিজর পরিবার লইয়া বইন ,ʃɔlhe ɐcʰone nɪɟɔɾ poɾɪbɐɾ lɔ͡ɪ̯ʲɐ bo͡ɪ̯n ,apn̪i n̪id͡ʑerɔ pɔribarɔ n̪ie̯e bɔs̪un̪
পরিবারে ছোট খাটো ঝামেলা থাকে,সিলেট পরিবারো ছুটো খাটো ঝামেলা থাখে,ʃɔlhe poɾɪbɐɾo cʰuto kʰɐto ɟʱɐmelɐ t̪ʰɐkʰe,pɔribare t͡ɕʰotɔ kʰato d͡ʑ̤amel̪a t̪ʰake
আমাকে একটু সাহায্য করবেন,সিলেট মোরে এখটু সাহায্য খরইন,ʃɔlhe moɾe extu ʃɐhɐzzo xɔɾɪn,amake ektu s̪ahad͡zd͡zɔ kɔrɔben̪
দয়া করে নাম পরিচয় গোপন রাখবেন,সিলেট দয়া খরিয়া নাম পরিচয় গুফন রাখবা ,ʃɔlhe d̪ɔʲɐ kʰoɾɪʲɐ nɐm poɾɪcɔe̯ gupʰɔn ɾɐkʰbɐ ,d̪e̯a kɔre n̪amɔ pɔrit͡ɕe̯ɔ ɡopɔn̪ɔ rakʰben̪
আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি,সিলেট মুই এখান কঠিন সমস্যা লইয়া হাজির হইছি ,ʃɔlhe mu͡ɪ̯ ekʰɐn kotʰɪn ʃɔmoʃʃɐ lɔ͡ɪ̯ʲɐ hɐɟɪɾ ho͡ɪ̯cʰɪ ,ami ekti kɔtʰin̪ɔ s̪ɔmɔs̪d͡za n̪ie̯e had͡ʑirɔ he̯et͡ɕʰi
একসময় ছেলের মেয়েটাকে ভালো লাগবে ,সিলেট এখসময় ফুয়া অগুর ফুড়ি অগুরে ভালা লাগবো,ʃɔlhe exʃɔmɔe̯ fuʲɐ ɔguɾ fuɽɪ ɔguɾe vɐlɐ lɐgbo,ekɔs̪ɔme̯ɔ t͡ɕʰel̪erɔ mee̯etake b̤al̪o l̪aɡbe 
তাদের চার বছরের একটি মেয়ে বাচ্চা আছে,সিলেট তারার চাইর বছরর এখটা বাইচ্চা ফুড়ি আছে,ʃɔlhe t̪ɐɾɐɾ cɐ͡ɪ̯ɾ bɔcʰoɾɔɾ ɛxtɐ bɐ͡ɪ̯ccɐ fuɽɪ ɐcʰe,t̪ad̪erɔ t͡ɕarɔ bɔt͡ɕʰɔrerɔ ekti mee̯e bat͡ɕt͡ɕa at͡ɕʰe
গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে,সিলেট গত এখ মাস আগে বউর লগে ঝগড়া লাগিয়া জামাই দেশো আইচ্চে,ʃɔlhe gɔt̪o ɛkʰo mɐʃ ɐge bɔ͡u̯ɾ lɔge ɟʱɔgɽɐ lɐgɪʲɐ ɟɐmɐ͡ɪ̯ d̪eʃo ɐ͡ɪ̯cce,ɡɔt̪ɔ ekɔ mas̪ɔ aɡe s̪t̪rirɔ s̪at̪ʰe d͡ʑ̤ɔɡɔɽa kɔre s̪bami d̪eɕe t͡ɕɔl̪e as̪e
ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে,সিলেট ফুয়া ফুড়ি এখজন আরোখজনরে খুব ভালা পায়,ʃɔlho pʰuʲɐ pʰuɽɪ ɛkʰɟon ɐɾokʰɟɔnɾe kʰub bʱɐlɐ pɐe̯,t͡ɕʰel̪e mee̯e ekɔd͡ʑɔn̪ɔ arekɔd͡ʑɔn̪ɔ ke prɔt͡ɕɔn̪dɔ b̤al̪obas̪e
সে বিয়ে করে সুখী হতে চায়,সিলেট হে বিয়া খরি সুখী অইতো চায়,ʃɔlhe he bɪʲɐ kʰoɾɪ ʃukʰɪ ɔ͡ɪ̯t̪o cɐe̯,s̪e bie̯e kɔre s̪ukʰi hɔt̪e t͡ɕae̯
ছেলে ইউরোপে পড়াশোনা করে,সিলেট ফুয়া ইউরোপ পড়ালেখা খরে,ʃɔlhe fuʲɐ ɪ͡u̯ɾop pɔɽɐlexɐ xoɾe,t͡ɕʰel̪e iurope pɔɽaɕon̪a kɔre
কিন্তু মেয়ের পরিবার রাজিনা,সিলেট কিন্তু ফুড়ির পরিবার রাজি না,ʃɔlhe kɪnt̪u pʰuɽɪɾ poɾɪbɐɾ ɾɐɟɪ nɐ,kin̪t̪u mee̯erɔ pɔribarɔ rad͡ʑin̪a
মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে,সিলেট ফুড়িরে আরোখ ফুয়ার লগে বিয়া দেওয়ার আয়োজন করছিল,ʃɔlɪ pʰuɽɪɾe ɐɾokʰ pʰuʲɐɾ lɔge bɪʲɐ d̪e͡o̯ʷɐɾ ɐʲoɟon koɾcʰɪlo,mee̯eke on̪d͡zɔ t͡ɕʰel̪erɔ s̪at̪ʰe bie̯e d̪eoe̯arɔ ae̯od͡ʑɔn̪ɔ kɔre
বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়।,সিলেট বাধ্য অইয়া ফুয়া ফুড়ি নিজর ইচ্ছাত বিয়া খরি লায় ,ʃɔlhe bɐd̪d̪ʱo ɔ͡ɪ̯ʲɐ fuʲɐ fuɽɪ nɪzɔɾ ɪccʰɐt̪ bɪʲɐ xoɾɪ lɐe̯ ,bad̪̤d͡zɔ he̯e t͡ɕʰel̪e mee̯e n̪id͡ʑed̪erɔ it͡ɕt͡ɕʰae̯ɔ bie̯e kɔre n̪ee̯ɔ।
আজকে দেয়ালে পিঠ থেকে গেছে,সিলেট আইজ দেওয়ালো পিঠ ঠেকি গেছে,ʃɔlhe ɐ͡ɪ̯ɟ d̪e͡o̯ʷɐlo pɪtʰ tʰekɪ gecʰe,ad͡ʑke d̪ee̯al̪e pitʰɔ t̪ʰeke ɡet͡ɕʰe
আজকে প্রায় ৮ দিন পানি নেই,সিলেট আইজ প্রায় ৮ দিন ধরি পানি নাই,ʃɔlhe ɐ͡ɪ̯ɟ pɾɐe̯ m d̪ɪn d̪ʱoɾɪ pɐnɪ nɐ͡ɪ̯,ad͡ʑke prae̯ɔ ৮ d̪in̪ɔ pan̪i n̪ei
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,সিলেট অথচ আশ পাশর হখল বাড়িত পানি দের খালি আমরার বাড়িত দের না,ʃɔlhe ɔt̪ʰɔc ɐʃ pɐʃoɾ hɔkʰl bɐɽɪt̪o pɐnɪ d̪eɾ kʰɐlɪ ɐmɾɐɾ bɐɽɪt̪o d̪eɾ nɐ,ot̪ʰɔt͡ɕɔ as̪e paɕerɔ s̪ɔbɔ baɽi t̪ei pan̪i d̪ie̯e d̪it͡ɕt͡ɕʰe ɕud̪̤u amad̪erɔ baɽit̪ei pan̪i d̪it͡ɕt͡ɕʰe n̪a
